institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Hawaii Pacific University,HI,Honolulu,96813,private,#73,85,31940,,4066,1070-1238,22-28
Hebrew Theological College,IL,Skokie,60077,private,#186-204,80,14200,,170,N/A,N/A
Heidelberg University,OH,Tiffin,44883,private,#53,71,33628,,932,1030-1162,19-24
Hellenic College,MA,Brookline,02445,private,Unranked,76,22490,,39,N/A,N/A
Henderson State University,AR,Arkadelphia,71999,public,#108,75,9768,,2228,978-1151,18-24
Hendrix College,AR,Conway,72032,private,#112,60,36650,3.9,1130,1130-1340,23-31
Henry Ford College,MI,Dearborn,48128,public,Unranked,,7348,,11379,N/A,N/A
Heritage University,WA,Toppenish,98948,private,#50,,19500,,811,N/A,N/A
Herzing University,WI,Madison,53718,private,#149-164,94,12750,,1664,N/A,N/A
Herzing University-Atlanta,GA,Atlanta,,private,#91-99,95,12750,,572,N/A,N/A
Herzing University-Brookfield,WI,Brookfield,,private,Unranked,91,12750,,348,N/A,N/A
Herzing University-Kenosha,WI,Kenosha,,private,Unranked,93,12750,,644,N/A,N/A
Herzing University--Minneapolis,MN,,,private,Unranked,94,12750,,750,N/A,N/A
Herzing University--Orlando,FL,Winter Park,,private,Unranked,94,12750,,728,N/A,N/A
Hesston College,KS,Hesston,67062,private,Unranked,,29952,,331,N/A,N/A
Highline College,WA,Des Moines,98198,public,Unranked,,4948,,4951,N/A,N/A
High Point University,NC,High Point,27268,private,#1,79,46548,3.4,5036,1103-1280,23-29
Hilbert College,NY,Hamburg,14075,private,#28,93,29900,,728,898-1113,N/A
Hillsdale College,MI,Hillsdale,49242,private,#39,21,32092,3.9,1573,1360-1520,30-34
Hiram College,OH,Hiram,44234,private,#10,93,26265,3.4,1002,961-1153,16-23
Hobart and William Smith Colleges,NY,Geneva,14456,private,#70,68,63268,3.6,1559,1210-1400,27-32
Hodges University,FL,Naples,34119,private,#123-135,,15500,,432,N/A,N/A
Hofstra University,NY,Hempstead,11549,private,#185,69,55450,3.8,6110,1190-1370,26-31
Hollins University,VA,Roanoke,24020,private,#124,72,41210,3.7,691,1113-1298,N/A
Holy Apostles College and Seminary,CT,Cromwell,06416,private,Unranked,,9440,,278,N/A,N/A
"Holy Cross College at Notre Dame, Indiana",IN,Notre Dame,46556,private,#186-204,76,35500,3.8,494,1110-1330,N/A
Holy Family University,PA,Philadelphia,19114,private,#116,77,32558,,2171,930-1220,18-24
Hood College,MD,Frederick,21701,private,#60,78,45870,3.5,1202,N/A,N/A
Hope College,MI,Holland,49422,private,#100,80,37221,3.8,3251,1090-1330,24-31
Hope International University,CA,Fullerton,92831,private,#81,32,36250,3.3,590,930-1070,N/A
Houghton University,NY,Houghton,14744,private,#146,93,17290,,813,1080-1290,20-31
Houston Christian University,TX,Houston,77074,private,#66,85,36600,,2780,1040-1250,22-27
Howard Payne University,TX,Brownwood,76801,private,#30,62,33552,3.5,773,920-1130,19-22
Howard University,DC,Washington,20059,private,#115,53,33344,3.7,9809,1050-1290,20-26
Huertas College,PR,Caguas,,proprietary,Unranked,,7920,,505,N/A,N/A
Hult International Business School,MA,Cambridge,02141,private,Unranked,44,50800,,1666,N/A,N/A
Humphreys University,CA,Stockton,95207,private,Unranked,,14760,,199,N/A,N/A
Huntingdon College,AL,Montgomery,36106,private,#9,66,28650,,813,980-1070,19-25
Huntington University,IN,Huntington,46750,private,#37,79,28930,,1120,1010-1208,19-24
Husson University,ME,Bangor,04401,private,#361,91,22194,,2453,1020-1210,N/A
Huston-Tillotson University,TX,Austin,78702,private,#35,50,14703,,991,820-1000,14-20
Idaho State University,ID,Pocatello,83209,public,#395-435,,25936,,9818,N/A,N/A
Ilisagvik College,AK,Barrow,,public,Unranked,,5260,,268,N/A,N/A
Illinois College,IL,Jacksonville,62650,private,#124,77,37470,3.6,1028,960-1130,21-26
Illinois Institute of Technology,IL,Chicago,60616,private,#98,61,51763,,3125,1220-1410,28-32
Illinois State University,IL,Normal,61790,public,#209,86,27011,3.6,18055,1000-1210,21-27
Illinois Wesleyan University,IL,Bloomington,61702,private,#1,42,55704,3.8,1527,1120-1330,25-30
Immaculata University,PA,Immaculata,19345,private,#280,70,28550,3.5,1508,1090-1260,N/A
Indiana State University,IN,Terre Haute,47809,public,#382,92,21734,3.2,6965,915-1140,17-24
Indiana Tech,IN,Fort Wayne,46803,private,#124,72,29560,3.4,1343,910-1160,18-24
Indiana University--Bloomington,IN,Bloomington,47405,public,#73,82,40482,3.8,35660,1180-1400,27-32
Indiana University East,IN,Richmond,47374,public,#103,78,22043,3.3,2786,960-1200,18-26
Indiana University--Kokomo,IN,Kokomo,46904,public,#117,86,22043,3.3,2669,1000-1190,21-26
Indiana University Northwest,IN,Gary,46408,public,#141,80,22043,3.1,2860,950-1170,20-25
Indiana University of Pennsylvania,PA,Indiana,15705,public,#320,92,14864,3.4,7047,940-1150,17-23
Indiana University-Purdue University--Indianapolis,IN,Indianapolis,46202,public,#201,83,33717,3.5,17727,1050-1250,21-27
Indiana University--South Bend,IN,South Bend,46634,public,#112,87,22043,3.1,3753,970-1190,18-22
Indiana University Southeast,IN,New Albany,47150,public,#133,85,22043,3.4,3227,1000-1190,20-25
Indiana Wesleyan University,IN,Marion,46953,private,#13,87,29684,3.7,2236,1000-1190,21-27
Indian River State College,FL,Fort Pierce,34981,public,Unranked,,10201,,14461,N/A,N/A
Institute of American Indian Arts,NM,Santa Fe,87508,public,Unranked,100,5561,,742,N/A,N/A
Inter American University of Puerto Rico--Aguadilla,PR,Aguadilla,00605,private,#118,57,5542,,3035,N/A,N/A
Inter American University of Puerto Rico--Arecibo,PR,Arecibo,00614,private,#118,53,5580,,2728,N/A,N/A
Inter American University of Puerto Rico--Barranquitas,PR,Barranquitas,00794,private,#43,79,5542,,1101,N/A,N/A
Inter American University of Puerto Rico--Bayamon,PR,Bayamon,00957,private,#89,68,5580,,3816,N/A,N/A
Inter American University of Puerto Rico--Fajardo,PR,Fajardo,00738,private,#81,53,5580,,1313,N/A,N/A
Inter American University of Puerto Rico--Guayama,PR,Guayama,00785,private,#74,92,5580,,1506,N/A,N/A
Inter American University of Puerto Rico--Metropolitan Campus,PR,San Juan,00919,private,#120,65,5580,,3735,N/A,N/A
Inter American University of Puerto Rico--Ponce,PR,Mercedita,00715,private,#76,62,5580,,2968,N/A,N/A
Inter American University of Puerto Rico--San German,PR,San German,00683,private,#93,55,5580,,2735,N/A,N/A
International College of the Cayman Islands,,Grand Cayman KY1-1501,,private,Unranked,,,,0,N/A,N/A
Iona University,NY,New Rochelle,10801,private,#60,96,45880,3.4,3032,1030-1210,23-31
Iowa State University of Science and Technology,IA,Ames,50011,public,#115,90,26617,3.7,25241,1090-1350,21-28
Ithaca College,NY,Ithaca,14850,private,#13,75,49883,,4619,1203-1380,28-32
Jackson College,MI,Jackson,49201,public,Unranked,,9375,,4103,N/A,N/A
Jackson State University,MS,Jackson,39217,public,#395-435,62,9445,,4763,940-980,16-20
Jacksonville State University,AL,Jacksonville,36265,public,#63,76,21912,,8067,1010-1240,16-23
Jacksonville University,FL,Jacksonville,32211,private,#36,58,46030,3.7,2563,1060-1240,20-26
James Madison University,VA,Harrisonburg,22807,public,#124,78,30790,,20346,1140-1320,23-29
Jamestown Business College,NY,Jamestown,14701,proprietary,Unranked,86,12945,,287,N/A,N/A
Jarvis Christian University,TX,Hawkins,75765,private,#34,,11720,,721,N/A,N/A
Jessup University,CA,Rocklin,95765,private,#56,66,37150,3.5,1169,1020-1230,N/A
Jewish Theological Seminary of America,NY,New York,10027,private,Unranked,50,68365,,144,N/A,N/A
John Brown University,AR,Siloam Springs,72761,private,#13,58,30832,3.8,1659,1100-1360,21-28
John Carroll University,OH,University Heights,44118,private,#3,82,49100,3.8,2417,1160-1320,25-30
John Paul the Great Catholic University,CA,Escondido,92025,private,#15,79,29500,,300,1068-1288,19-24
Johns Hopkins University,MD,Baltimore,21218,private,#9,7,63340,3.9,6044,1520-1570,34-35
Johnson C. Smith University,NC,Charlotte,28216,private,#172,9,21714,,1052,N/A,N/A
Johnson University (TN),TN,Knoxville,37998,private,#31,81,19274,,658,980-1185,19-24
Johnson & Wales University--Charlotte,NC,Charlotte,,private,#24,73,39992,,1140,890-1122,16-22
Johnson & Wales University--Providence,RI,Providence,02903,private,#69,83,39992,,4158,940-1190,22-29
Judson University,IL,Elgin,60123,private,#108,59,30910,3.2,798,910-1140,16-27
Juilliard School,NY,New York,10023,private,Unranked,10,53550,,608,N/A,N/A
Juniata College,PA,Huntingdon,16652,private,#82,76,56402,3.6,1177,1120-1330,26-30
Kalamazoo College,MI,Kalamazoo,49006,private,#70,80,56562,3.8,1210,1200-1370,26-32
Kansas City Art Institute,MO,Kansas City,64111,private,Unranked,60,41924,,726,N/A,N/A
Kansas State University,KS,Manhattan,66506,public,#170,95,27816,3.8,15046,N/A,20-27
Kansas Wesleyan University,KS,Salina,67401,private,#41,70,33470,3.4,791,878-1138,17-22
Kean University,NJ,Union,07083,public,#320,83,21076,3.2,10845,900-1163,16-25
Keene State College,NH,Keene,03435,public,#12,90,26186,3.2,2755,930-1170,N/A
Keiser University,FL,Ft. Lauderdale,33309,private,#249,97,36020,,16960,N/A,N/A
Kennesaw State University,GA,Kennesaw,30144,public,#394-435,68,20966,3.5,39005,1030-1210,19-25
Kent State University,OH,Kent,44242,public,#227,88,22316,3.7,20418,1000-1210,18-25
Kent State University at East Liverpool,OH,East Liverpool,,public,#68-74,,16164,,1021,N/A,N/A
Kentucky Christian University,KY,Grayson,41143,private,#64,58,25000,,603,800-1030,16-21
Kentucky State University,KY,Frankfort,40601,public,#34,91,13260,2.7,1610,795-1060,14-23
Kentucky Wesleyan College,KY,Owensboro,42301,private,#22,69,31300,3.5,780,980-1210,18-23
Kenyon College,OH,Gambier,43022,private,#39,34,69330,3.9,1885,1370-1520,31-34
Kettering College,OH,Kettering,45429,private,Unranked,25,14664,,617,N/A,N/A
Kettering University,MI,Flint,48504,private,#9,81,46380,3.8,1422,1130-1370,24-30
Keuka College,NY,Keuka Park,14478,private,#137,93,38000,3,985,940-1132,N/A
Keystone College,PA,La Plume,18440,private,#29,81,17450,3.1,1060,910-1155,17-25
King's College,PA,Wilkes-Barre,18711,private,#91,96,42600,3.3,1671,1070-1260,22-26
The King's College,NY,New York,10004,private,#167,44,21690,,384,1140-1390,24-30
King University,TN,Bristol,37620,private,#59,61,14771,3.4,1122,1010-1200,18-24
Knox College,IL,Galesburg,61401,private,#75,73,55587,,1060,1163-1396,27-32
Kutztown University of Pennsylvania,PA,Kutztown,19530,public,#116,96,15270,3.3,6508,1040-1260,19-26
Kuyper College,MI,Grand Rapids,49525,private,#56,69,25370,,114,N/A,N/A
Laboure College,MA,Milton,,private,Unranked,75,32813,,1038,N/A,N/A
Lackawanna College,PA,Scranton,18509,private,Unranked,,17340,,1916,N/A,N/A
Lafayette College,PA,Easton,18042,private,#30,34,61824,3.6,2729,1330-1480,30-33
LaGrange College,GA,LaGrange,30240,private,#12,59,34540,3.4,607,N/A,N/A
Laguna College of Art and Design,CA,Laguna Beach,92651,private,Unranked,83,34600,,735,N/A,N/A
Lake Erie College,OH,Painesville,44077,private,#142,55,35024,,726,905-1130,17-23
Lake Forest College,IL,Lake Forest,60045,private,#73,60,54202,3.8,1727,1155-1340,26-31
Lakeland University,WI,Plymouth,53073,private,#140,80,31786,,1488,N/A,N/A
Lake Michigan College,MI,Benton Harbor,49022,public,Unranked,,7148,,2729,N/A,N/A
Lake-Sumter State College,FL,Leesburg,34788,public,Unranked,,13276,,4342,N/A,N/A
Lake Superior State University,MI,Sault Ste. Marie,49783,public,#10,79,13840,3.2,1655,975-1180,18-23
Lakeview College of Nursing,IL,Danville,61832,private,Unranked,,18770,,152,N/A,N/A
Lake Washington Institute of Technology,WA,Kirkland,98034,public,Unranked,,10390,,3240,N/A,N/A
Lamar University,TX,Beaumont,77710,public,#395-435,84,22826,3.3,8257,920-1130,16-24
Lancaster Bible College,PA,Lancaster,17601,private,#141,96,28460,,1545,1010-1210,20-26
Lander University,SC,Greenwood,29649,public,#20,67,21300,3.5,3562,950-1190,17-24
Landmark College,VT,Putney,05346,private,Unranked,45,64290,,585,N/A,N/A
Lane College,TN,Jackson,38301,private,#186-204,37,11790,2.6,1010,N/A,14-17
Langston University,OK,Langston,73050,public,#105-115,,14166,,1814,N/A,N/A
La Roche University,PA,Pittsburgh,15237,private,#137,97,33120,3.6,1802,970-1170,20-26
La Salle University,PA,Philadelphia,19141,private,#201,94,35520,3.4,2776,N/A,N/A
Lasell University,MA,Newton,02466,private,#104,73,26000,3.2,1247,995-1268,22-26
La Sierra University,CA,Riverside,92515,private,#41,95,35910,3.5,1263,900-1190,16-24
Lawrence Technological University,MI,Southfield,48075,private,#53,82,41872,3.5,2298,1030-1270,22-30
Lawrence University,WI,Appleton,54911,private,#75,72,55461,3.7,1426,1210-1460,27-32
Lebanese American University,,Chouran,,private,Unranked,65,,2.8,7228,N/A,N/A
Lebanon Valley College,PA,Annville,17003,private,#64,77,50320,3.8,1683,1120-1280,23-31
Lees-McRae College,NC,Banner Elk,28604,private,#28,61,29440,,855,1040-1240,20-26
Lee University,TN,Cleveland,37320,private,#31,73,22690,3.7,3446,1010-1240,19-27
Lehigh University,PA,Bethlehem,18015,private,#47,37,62180,,5624,1340-1490,30-33
Le Moyne College,NY,Syracuse,13214,private,#17,78,38970,3.6,2600,1130-1290,26-31
LeMoyne-Owen College,TN,Memphis,38126,private,#91-99,98,12076,,613,898-1093,13-17
Lenoir-Rhyne University,NC,Hickory,28601,private,#40,83,30900,3.4,1530,995-1190,17-24
Lesley University,MA,Cambridge,02138,private,#342,87,31364,,1757,N/A,N/A
LeTourneau University,TX,Longview,75607,private,#34,49,35500,3.7,3350,1120-1380,20-29
Lewis & Clark College,OR,Portland,97219,private,#93,69,62350,3.7,2210,1260-1400,29-32
Lewis-Clark State College,ID,Lewiston,83501,public,#26,100,21386,,3709,N/A,N/A
Lewis University,IL,Romeoville,60446,private,#13,74,37872,3.6,3933,1010-1200,21-29
Liberty University,VA,Lynchburg,24502,private,#395-435,99,25040,3.4,48906,980-1200,17-24
Life Pacific University,CA,San Dimas,91773,private,#20,94,20450,,397,N/A,N/A
Life University,GA,Marietta,30060,private,#110,98,15036,3,915,830-1127,17-19
LIM College,NY,New York,10017,proprietary,Unranked,84,30950,3.1,1081,N/A,N/A
Limestone University,SC,Gaffney,29340,private,#63,90,27500,3.5,1602,975-1170,20-27
Lincoln Christian University,IL,Lincoln,62656,private,#149-164,,14920,,287,N/A,N/A
Lincoln Memorial University,TN,Harrogate,37752,private,#269,79,26150,3.5,1560,982-1190,18-24
Lincoln University (CA),CA,Oakland,94612,private,Unranked,,11420,,168,N/A,N/A
Lincoln University (MO),MO,Jefferson City,65101,public,#64,,15616,,1689,N/A,N/A
Lincoln University (PA),PA,Lincoln University,19352,public,#123,81,18464,3.1,1712,840-1040,15-20
Lindenwood University,MO,St. Charles,63301,private,#121,74,19900,3.4,4808,890-1190,19-25
Lindsey Wilson College,KY,Columbia,42728,private,#93,,27274,3.4,1753,N/A,17-22
Linfield University,OR,McMinnville,97128,private,#107,90,49460,3.6,1704,N/A,N/A
Lipscomb University,TN,Nashville,37204,private,#236,71,38824,3.8,2955,1130-1320,23-30
Livingstone College,NC,Salisbury,28144,private,#78,64,18293,2.7,839,800-960,14-16
Logan University,MO,Chesterfield,,private,Unranked,66,7800,,372,N/A,N/A
Loma Linda University,CA,Loma Linda,92350,private,Unranked,,37332,,1073,N/A,N/A
Long Island University,NY,Brookville,11548,private,#369,93,41492,3.4,11319,1100-1330,23-29
Longwood University,VA,Farmville,23909,public,#21,88,27410,3.6,3154,1020-1210,N/A
Loras College,IA,Dubuque,52004,private,#12,90,38298,3.5,1213,N/A,N/A
Louisiana Christian University,LA,Pineville,71359,private,#105,74,19720,,832,960-1190,18-23
Louisiana State University--Alexandria,LA,Alexandria,71302,public,#61,58,16640,,3771,970-1210,18-22
Louisiana State University--Baton Rouge,LA,Baton Rouge,70803,public,#185,76,28631,3.8,30952,1140-1320,23-28
Louisiana State University Health Sciences Center,LA,New Orleans,70112,public,Unranked,,18851,,893,N/A,N/A
Louisiana State University--Shreveport,LA,Shreveport,71115,public,#93,89,7519,3.4,2465,1090-1140,19-24
Louisiana Tech University,LA,Ruston,71272,public,#304,82,19608,3.6,10083,1120-1315,22-28
Lourdes University,OH,Sylvania,43560,private,#120,75,28650,,912,N/A,17-23
Loyola Marymount University,CA,Los Angeles,90045,private,#93,41,58489,3.9,7299,1300-1460,29-32
Loyola University Chicago,IL,Chicago,60660,private,#142,79,51706,3.8,11703,1190-1370,27-32
Loyola University Maryland,MD,Baltimore,21210,private,#7,83,55480,3.7,3977,1180-1360,26-33
Loyola University New Orleans,LA,New Orleans,70118,private,#260,78,47240,3.6,3289,N/A,N/A
Lubbock Christian University,TX,Lubbock,79407,private,#82,82,26300,3.7,1346,940-1190,19-24
Luther College,IA,Decorah,52101,private,#116,75,50320,3.6,1610,1075-1330,22-29
Lycoming College,PA,Williamsport,17701,private,#107,75,47450,3.6,1067,1053-1238,20-25
Lynn University,FL,Boca Raton,33431,private,#49,80,42950,3.4,2792,1033-1185,21-25
Lyon College,AR,Batesville,72503,private,#167,60,31000,3.6,495,1020-1148,21-26
Macalester College,MN,St. Paul,55105,private,#27,28,64908,,2175,1370-1520,31-34
Madonna University,MI,Livonia,48150,private,#84,65,27360,3.5,1780,870-1130,14-15
Maharishi International University,IA,Fairfield,52557,private,#149-164,95,16530,,655,N/A,N/A
Maine College of Art,ME,Portland,04101,private,Unranked,72,39830,,409,N/A,N/A
Maine Maritime Academy,ME,Castine,04420,public,#5,62,30226,3.4,878,1075-1275,22-29
Malone University,OH,Canton,44709,private,#101,78,36120,,1018,993-1178,18-24
Manchester University,IN,North Manchester,46962,private,#60,76,35772,,981,N/A,N/A
Manhattan Christian College,KS,Manhattan,66502,private,Unranked,48,17914,,158,N/A,N/A
Manhattan College,NY,Riverdale,10471,private,#13,82,50848,3.6,3060,1140-1330,23-30
Manhattan School of Music,NY,New York,10027,private,Unranked,49,52550,,500,N/A,N/A
Manhattanville College,NY,Purchase,10577,private,#80,84,42550,3.3,1290,1040-1190,20-26
Manor College,PA,,,private,Unranked,95,19414,,660,N/A,N/A
Maranatha Baptist University,WI,Watertown,53094,private,#133,75,18810,3.6,738,990-1240,19-26
Maria College of Albany,NY,Albany,12208,private,Unranked,37,16510,,752,N/A,N/A
Marian University (IN),IN,Indianapolis,46222,private,#280,94,39100,,2860,N/A,N/A
Marian University (WI),WI,Fond du Lac,54935,private,#124,76,33000,,1086,800-1080,18-23
Marietta College,OH,Marietta,45750,private,#18,83,38974,3.5,1109,940-1130,18-24
Marist College,NY,Poughkeepsie,12601,private,#10,63,46110,3.6,5475,1209-1360,25-30
Marquette University,WI,Milwaukee,53201,private,#86,87,48700,3.6,7528,1170-1360,26-31
Marshall University,WV,Huntington,25755,public,#332,91,19658,3.7,7962,910-1140,18-24
Mars Hill University,NC,Mars Hill,28754,private,#20,74,37270,3.5,994,950-1170,18-24
Martin Luther College,MN,New Ulm,56073,private,Unranked,72,17770,,755,N/A,N/A
Martin University,IN,Indianapolis,46218,private,#186-204,,13200,,180,N/A,N/A
Mary Baldwin University,VA,Staunton,24401,private,#395-435,90,33127,3.2,1314,930-1120,16-24
Maryland Institute College of Art,MD,Baltimore,21217,private,Unranked,86,53815,,1540,N/A,N/A
Marymount Manhattan College,NY,New York,10021,private,#174,72,40260,3.4,1608,1080-1280,22-28
Marymount University,VA,Arlington,22207,private,#320,81,38250,3.3,2275,N/A,N/A
Maryville College,TN,Maryville,37804,private,#172,70,38514,3.4,1065,930-1120,19-27
Maryville University of St. Louis,MO,St Louis,63141,private,#249,88,27166,3.5,5809,960-1210,19-25
Marywood University,PA,Scranton,18509,private,#50,81,39570,3.6,1916,1030-1200,18-26
Massachusetts College of Art and Design,MA,Boston,02115,public,Unranked,79,42190,,1833,N/A,N/A
Massachusetts College of Liberal Arts,MA,North Adams,01247,public,#121,93,21859,3.3,838,N/A,N/A
Massachusetts Institute of Technology,MA,Cambridge,02139,private,#2,4,60156,,4657,1520-1580,35-36
Massachusetts Maritime Academy,MA,Buzzards Bay,02532,public,#11,89,24186,3.3,1327,N/A,N/A
The Master's University and Seminary,CA,Santa Clarita,91321,private,#332,78,32870,,1765,N/A,N/A
Mayville State University,ND,Mayville,58257,public,#60,61,12487,,1147,N/A,16-24
McDaniel College,MD,Westminster,21157,private,#80,82,49647,3.7,1762,1020-1260,23-29
McKendree University,IL,Lebanon,62254,private,#84,68,34070,3.3,1483,920-1130,18-24
McMurry University,TX,Abilene,79697,private,#23,57,31162,3.8,1231,1040-1230,20-25
McNeese State University,LA,Lake Charles,70609,public,#86,71,9940,,5707,970-1180,18-24
McPherson College,KS,McPherson,67460,private,#27,59,35162,3.3,815,908-1120,17-23
MCPHS University,MA,Boston,02115,private,Unranked,98,37230,,3668,N/A,N/A
Medgar Evers College--CUNY,NY,Brooklyn,11225,public,#182,88,18920,,3640,N/A,N/A
Medical University of South Carolina,SC,Charleston,29425,public,Unranked,,29509,,334,N/A,N/A
Menlo College,CA,Atherton,94027,private,Unranked,70,49090,,745,N/A,N/A
Mercer University,GA,Macon,31207,private,#170,75,40890,3.9,4859,1190-1360,26-31
Mercy College of Health Sciences,IA,Des Moines,50309,private,Unranked,97,16632,3,909,N/A,N/A
Mercy College of Ohio,OH,Toledo,43604,private,Unranked,89,18950,,1120,N/A,N/A
Mercyhurst University,PA,Erie,16546,private,#54,86,44510,3.5,2446,1050-1250,21-27
Mercy University,NY,Dobbs Ferry,10522,private,#123,86,22106,3.3,6379,910-1190,23-27
Meredith College,NC,Raleigh,27607,private,#130,73,43936,3.5,1322,1140-1320,22-28
Merrimack College,MA,North Andover,01845,private,#33,75,51786,3.5,4229,1020-1260,22-28
Messiah University,PA,Mechanicsburg,17055,private,#33,79,40640,3.8,2495,1090-1340,25-30
Methodist College,IL,Peoria,,private,Unranked,100,18008,,514,N/A,N/A
Methodist University,NC,Fayetteville,28311,private,#91,76,39664,3.6,1448,1063-1200,23-26
Metropolitan College of New York,NY,New York,10006,private,#151-167,77,20188,,402,N/A,N/A
Metropolitan State University,MN,St. Paul,55106,public,#96,67,9684,,6000,N/A,N/A
Metropolitan State University of Denver,CO,Denver,80217,public,#94,98,29630,2.6,15848,920-1130,16-23
MGH Institute of Health Professions,MA,Boston,,private,Unranked,,86395,,195,N/A,N/A
Miami Dade College,FL,Miami,33132,public,Unranked,,14437,,47245,N/A,N/A
Miami International University of Art & Design,FL,Miami,33132,proprietary,#81,,10794,,894,N/A,N/A
Miami Regional University,FL,,,private,Unranked,,36366,,393,N/A,N/A
Miami University--Hamilton,OH,Hamilton,,public,#58,,18196,,2289,N/A,N/A
Miami University--Middletown,OH,Middletown,,public,#58,,18196,,1492,N/A,N/A
Miami University--Oxford,OH,Oxford,45056,public,#133,88,38127,3.9,16865,1160-1370,24-29
Michigan State University,MI,East Lansing,48824,public,#60,88,41958,3.8,39201,1100-1340,24-30
Michigan Technological University,MI,Houghton,49931,public,#151,86,41340,3.8,5710,1130-1350,24-30
Mid-America Christian University,OK,Oklahoma City,73170,private,#105-115,,18838,,1662,N/A,N/A
MidAmerica Nazarene University,KS,Olathe,66062,private,#112,67,36120,3.4,1159,916-1118,17-24
Mid-Atlantic Christian University,NC,Elizabeth City,27909,private,#76,48,17040,,145,760-1160,14-21
Middlebury College,VT,Middlebury,05753,private,#11,13,65280,,2773,1410-1540,33-35
Middle Georgia State University,GA,Macon,31206,public,#105,100,17332,,7259,910-1140,15-23
Middle Tennessee State University,TN,Murfreesboro,37132,public,#304,73,29584,3.6,17438,1020-1230,19-26
Midland College,TX,Midland,79705,public,Unranked,,5880,,5016,N/A,N/A
Midland University,NE,Fremont,68025,private,#147,64,38300,,1401,905-1150,19-23
Midway University,KY,Midway,40347,private,#76,94,26080,3.2,1663,1010-1130,19-26
Midwestern Baptist Theological Seminary,MO,Kansas City,,private,Unranked,98,9480,,942,N/A,N/A
Midwestern State University,TX,Wichita Falls,76308,public,#52,92,11726,,4818,910-1130,17-23
Miles College,AL,Birmingham,35208,private,#86,,12714,,1520,N/A,N/A
Millersville University of Pennsylvania,PA,Millersville,17551,public,#116,92,21982,3.5,5851,980-1200,N/A
Milligan University,TN,Milligan,37682,private,#15,67,39350,3.9,737,1065-1255,21-26
Millikin University,IL,Decatur,62522,private,#15,75,43570,3.6,1708,930-1200,20-27
Millsaps College,MS,Jackson,39210,private,#124,68,43815,,637,1135-1354,21-28
Milwaukee Institute of Art and Design,WI,Milwaukee,53202,private,Unranked,68,41140,,898,N/A,N/A
Milwaukee School of Engineering,WI,Milwaukee,53202,private,#2,63,48421,3.7,2575,1170-1390,25-31
Minneapolis College of Art and Design,MN,Minneapolis,55404,private,Unranked,66,42560,,675,N/A,N/A
Minnesota State University--Mankato,MN,Mankato,56001,public,#67,71,19366,3.4,12548,N/A,18-23
Minnesota State University--Moorhead,MN,Moorhead,56563,public,#52,72,19072,,4026,1040-1180,19-25
Minot State University,ND,Minot,58707,public,#120,93,8634,3.4,2530,992-1178,17-23
MiraCosta College,CA,Oceanside,92056,public,Unranked,,8448,,11125,N/A,N/A
Misericordia University,PA,Dallas,18612,private,#227,76,38370,3.5,1777,1000-1240,22-23
Mississippi College,MS,Clinton,39058,private,#369,40,21698,3.7,2396,N/A,21-28
Mississippi State University,MS,Mississippi State,39762,public,#216,70,26580,3.6,18305,1070-1280,21-29
Mississippi University for Women,MS,Columbus,39701,public,#27,99,8092,3.5,2080,N/A,17-23
Mississippi Valley State University,MS,Itta Bena,38941,public,#120,65,7334,2.8,1654,N/A,13-18
Missouri Baptist University,MO,St. Louis,63141,private,#149-164,62,33316,,4251,870-1110,17-29
Missouri Southern State University,MO,Joplin,64801,public,#141,99,16800,3.4,4052,960-1220,18-24
Missouri State University,MO,Springfield,65897,public,#342,94,17144,,18837,1010-1200,20-26
Missouri University of Science and Technology,MO,Rolla,65409,public,#185,81,31862,3.8,5501,1173-1370,25-31
Missouri Valley College,MO,Marshall,65340,private,#68-74,66,22450,,1741,750-1100,16-21
Missouri Western State University,MO,St. Joseph,64507,public,#140,100,16100,3.1,3824,N/A,16-22
Mitchell College,CT,New London,06320,private,#35,78,37250,,526,N/A,N/A
Modesto Junior College,CA,Modesto,95350,public,Unranked,,7308,,14642,N/A,N/A
Molloy University,NY,Rockville Centre,11571,private,#50,77,37840,3.7,3271,1080-1310,24-28
Monmouth College,IL,Monmouth,61462,private,#129,66,43520,,755,1080-1300,23-28
Monmouth University,NJ,West Long Branch,07764,private,#17,91,44850,3.6,3811,1110-1300,22-30
Monroe College,NY,Bronx,11468,proprietary,#64,60,17922,2.6,5916,N/A,N/A
Montana State University,MT,Bozeman,59717,public,#303,73,27990,,14648,1070-1300,20-27
Montana State University--Billings,MT,Billings,59101,public,#102,100,19847,3.3,3665,N/A,17-22
Montana State University--Northern,MT,Havre,59501,public,#18,,18665,,1008,N/A,N/A
Montana Technological University,MT,Butte,59701,public,#41,89,24720,3.5,2092,1050-1320,18-24
Montclair State University,NJ,Montclair,07043,public,#163,91,22470,3.3,17290,950-1200,N/A
Montreat College,NC,Montreat,28757,private,#72,90,30810,,853,1030-1220,21-28
Montserrat College of Art,MA,Beverly,01915,private,#21,,37850,,341,N/A,N/A
Moody Bible Institute,IL,Chicago,60610,private,Unranked,94,13898,,1753,N/A,N/A
