institution.displayName,institution.state,institution.city,institution.zip,institution.institutionalControl,ranking.displayRank,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Baptist Health Sciences University,TN,Memphis,38104,private,Unranked,35,13078,,910,N/A,N/A
Baptist Missionary Association Theological Seminary,TX,Jacksonville,75766,private,Unranked,85,8850,,51,N/A,N/A
Barclay College,KS,Haviland,,private,#48,54,24990,,168,N/A,N/A
Bard College,NY,Annandale on Hudson,12504,private,#72,60,60270,,2171,N/A,N/A
Bard College at Simon's Rock,MA,Great Barrington,01230,private,#32,34,66594,,304,N/A,N/A
Barnard College,NY,New York,10027,private,#11,9,66246,,3442,1440-1550,32-34
Barry University,FL,Miami Shores,33161,private,#395-435,60,32500,,3122,880-1070,17-22
Barton College,NC,Wilson,27893,private,#10,95,35600,3.2,1187,970-1150,17-23
Bates College,ME,Lewiston,04240,private,#24,14,63478,,1790,1310-1505,31-33
Bayamon Central University,PR,Bayamon,00960,private,#123-135,98,5594,,759,N/A,N/A
Baylor University,TX,Waco,76798,private,#93,46,54844,,15213,1230-1410,28-33
Bay Path University,MA,Longmeadow,01106,private,#123,75,37227,,1338,1020-1140,N/A
Bay State College,MA,Boston,02116,proprietary,#41-44,50,2900,,346,N/A,N/A
Beacon College,FL,Leesburg,34748,private,#3,52,47110,3.3,501,N/A,N/A
Belhaven University,MS,Jackson,39202,private,#395-435,46,29195,3.5,1501,980-1200,18-24
Bellarmine University,KY,Louisville,40205,private,#280,88,46780,3.6,2343,1100-1290,21-27
Bellevue College,WA,Bellevue,98007,public,Unranked,,9838,,11546,N/A,N/A
Bellevue University,NE,Bellevue,68005,private,#149-164,,8790,,8903,N/A,N/A
Bellin College,WI,Green Bay,54305,private,Unranked,85,21900,,514,N/A,N/A
Bellingham Technical College,WA,Bellingham,98225,public,Unranked,,5357,,1915,N/A,N/A
Belmont Abbey College,NC,Belmont,28012,private,#30,97,19500,3.2,1475,950-1140,18-26
Belmont University,TN,Nashville,37212,private,#236,96,41320,3.8,7376,1150-1340,24-30
Beloit College,WI,Beloit,53511,private,#86,66,58554,3.3,964,1190-1360,26-31
Bemidji State University,MN,Bemidji,56601,public,#83,75,10130,,3877,N/A,19-25
Benedict College,SC,Columbia,29204,private,#86,68,18000,3.2,1796,820-1020,14-20
Benedictine College,KS,Atchison,66002,private,#8,100,35350,3.6,2261,1095-1350,22-28
Benedictine University,IL,Lisle,60532,private,#56,93,34290,3.3,2042,980-1260,19-27
Benjamin Franklin Institute of Technology,MA,Boston,02116,private,Unranked,,18228,,476,N/A,N/A
Bennett College,NC,Greensboro,27401,private,#180,79,18550,,207,N/A,N/A
Bennington College,VT,Bennington,05201,private,#112,45,64644,3.6,785,1260-1370,29-33
Bentley University,MA,Waltham,02452,private,#1,58,58610,,4131,1258-1420,28-32
Berea College,KY,Berea,40404,private,#30,25,726,3.6,1433,1136-1298,23-27
Berkeley College (NJ),NJ,Woodland Park,07424,proprietary,#151-167,90,28600,2.8,1944,N/A,N/A
Berkeley College (NY),NY,New York,10017,proprietary,#36,94,28600,2.5,1818,N/A,N/A
Berklee College of Music,MA,Boston,02215,private,#39,54,50270,,7499,N/A,N/A
Berry College,GA,Mount Berry,30149,private,#5,66,40416,3.8,2243,1110-1290,21-29
Bethany College (KS),KS,Lindsborg,67456,private,#63,66,31305,3.2,744,882-1020,15-22
Bethany College (WV),WV,Bethany,26032,private,#186-204,74,32640,,545,870-1110,18-26
Bethany Lutheran College,MN,Mankato,56001,private,#159,58,30010,3.5,784,990-1290,20-25
Bethel College,KS,North Newton,67117,private,#23,97,34002,3.5,495,850-1070,18-24
Bethel University (IN),IN,Mishawaka,46545,private,#47,99,33320,3.4,1150,980-1180,16-26
Bethel University (MN),MN,St. Paul,55112,private,#236,72,42930,3.6,2533,N/A,20-28
Bethel University (TN),TN,McKenzie,38201,private,#110,47,18168,,2332,N/A,15-21
Bethune-Cookman University,FL,Daytona Beach,32114,private,#186-204,85,14794,3.3,2628,830-980,15-18
Binghamton University--SUNY,NY,Binghamton,13902,public,#73,42,28203,3.9,14402,1340-1510,29-34
Biola University,CA,La Mirada,90639,private,#236,58,46704,0,3499,1105-1365,23-30
Birmingham-Southern College,AL,Birmingham,35254,private,#135,57,22750,3.7,975,1150-1280,22-29
Bismarck State College,ND,Bismarck,58506,public,#39,91,8790,,3771,N/A,16-22
Blackburn College,IL,Carlinville,62626,private,#35,66,26758,,414,888-1125,16-24
Black Hills State University,SD,Spearfish,57799,public,#145,97,11866,,3261,990-1140,18-25
Blessing-Rieman College of Nursing and Health Sciences,IL,Quincy,62305,private,Unranked,,29180,,141,N/A,N/A
Bluefield State University,WV,Bluefield,24701,public,#57,98,17100,3.4,1281,880-1110,17-23
Bluefield University,VA,Bluefield,24605,private,#104,72,29420,,718,N/A,N/A
Blue Mountain Christian University,MS,Blue Mountain,38610,private,#17,96,19280,3.6,892,1000-1140,18-25
Bluffton University,OH,Bluffton,45817,private,#22,96,36298,,664,843-1192,16-24
Bob Jones University,SC,Greenville,29614,private,#24,89,23350,3.4,2665,N/A,N/A
Boise State University,ID,Boise,83725,public,#332,84,26976,3.5,22962,950-1200,20-27
Bon Secours Memorial College of Nursing,VA,Richmond,,private,Unranked,,15300,,427,N/A,N/A
Boricua College,NY,New York,10032,private,#23,,12025,,377,N/A,N/A
Boston Architectural College,MA,Boston,02115,private,Unranked,,22144,,290,N/A,N/A
Boston College,MA,Chestnut Hill,02467,private,#39,17,67680,,9484,1435-1540,33-35
Boston University,MA,Boston,02215,private,#43,14,65168,3.9,18459,1350-1500,31-34
Bowdoin College,ME,Brunswick,04011,private,#9,9,64910,,1915,1460-1560,33-35
Bowie State University,MD,Bowie,20715,public,#130,87,19839,3.2,5378,800-1050,15-20
Bowling Green State University,OH,Bowling Green,43403,public,#280,79,21424,3.6,13853,990-1200,20-25
Bradley University,IL,Peoria,61625,private,#185,75,39680,3.8,4143,1050-1280,24-30
Brandeis University,MA,Waltham,02454,private,#60,39,62722,3.8,3687,1340-1520,31-34
Brazosport College,TX,Lake Jackson,77566,public,Unranked,,4748,,3916,N/A,N/A
Brenau University,GA,Gainesville,30501,private,#394-435,87,33275,3.4,1367,970-1160,18-23
Brescia University,KY,Owensboro,42301,private,#44,51,30450,,577,920-1190,18-25
Brevard College,NC,Brevard,28712,private,#33,40,31250,3.2,732,960-1150,18-22
Brewton-Parker College,GA,Mount Vernon,30445,private,#91-99,95,20040,3.2,911,900-1130,17-21
Briar Cliff University,IA,Sioux City,51104,private,#394-435,,34498,3.2,709,N/A,17-22
Bridgewater College,VA,Bridgewater,22812,private,#167,90,41350,,1385,1020-1230,22-28
Bridgewater State University,MA,Bridgewater,02325,public,#91,88,17444,3.3,8116,1030-1215,19-25
Brigham Young University,UT,Provo,84602,private,#115,67,6496,3.9,31401,1280-1468,27-32
Brigham Young University--Hawaii,HI,Laie Oahu,96762,private,#9,88,6250,,2893,1075-1260,21-27
Brigham Young University--Idaho,ID,Rexburg,83460,private,#8,97,4536,,44304,990-1200,20-26
Brookline College--Albuquerque,NM,Albuquerque,,proprietary,Unranked,,91801,,556,N/A,N/A
Brookline College-Phoenix,AZ,Phoenix,,proprietary,Unranked,,89404,,1000,N/A,N/A
Broward College,FL,Fort Lauderdale,33301,public,#47,100,10329,,30057,N/A,N/A
Brown University,RI,Providence,02912,private,#9,5,68230,,7639,1490-1580,34-36
Bryan College,TN,Dayton,37321,private,#63,,18050,,1376,N/A,N/A
Bryan College of Health Sciences,NE,Lincoln,,private,Unranked,91,17870,,620,N/A,N/A
Bryant & Stratton College--Wauwatosa,WI,,,proprietary,Unranked,,19267,,1229,N/A,N/A
Bryant University,RI,Smithfield,02917,private,#6,69,51169,3.5,3153,1163-1320,27-32
Bryn Athyn College of the New Church,PA,Bryn Athyn,19009,private,#174,80,28669,3.2,272,980-1253,19-21
Bryn Mawr College,PA,Bryn Mawr,19010,private,#30,31,62560,,1409,1280-1500,29-35
Bucknell University,PA,Lewisburg,17837,private,#30,33,64772,3.6,3747,1310-1470,30-33
Buena Vista University,IA,Storm Lake,50588,private,#47,77,40190,3.5,1474,930-1130,20-24
Bushnell University,OR,Eugene,97401,private,#73,67,34740,3.5,508,920-1050,N/A
Butler University,IN,Indianapolis,46208,private,#1,82,45980,3.9,4427,1110-1320,24-30
Cabarrus College of Health Sciences,NC,Concord,28025,private,Unranked,46,15560,,438,N/A,N/A
Cairn University,PA,Langhorne,19047,private,#144,82,31355,,844,N/A,N/A
Caldwell University,NJ,Caldwell,07006,private,#80,66,39660,3.3,1605,1013-1360,N/A
California Baptist University,CA,Riverside,92504,private,#30,80,40030,3.5,8223,940-1180,19-25
California College of the Arts,CA,San Francisco,94107,private,Unranked,78,57946,,1249,N/A,N/A
California Institute of Technology,CA,Pasadena,91125,private,#7,3,63255,,982,N/A,N/A
California Institute of the Arts,CA,Valencia,91355,private,#28,29,55056,,965,N/A,N/A
California Lutheran University,CA,Thousand Oaks,91360,private,#11,87,50670,3.8,2513,1150-1320,26-30
California Polytechnic State University -- Humboldt,CA,Arcata,95521,public,#32,90,19744,3.5,5308,1040-1273,21-24
California Polytechnic State University--San Luis Obispo,CA,San Luis Obispo,93407,public,#1,30,26970,3.9,20963,1240-1470,28-33
California State Polytechnic University--Pomona,CA,Pomona,91768,public,#3,55,19318,3.8,25181,N/A,N/A
California State University--Bakersfield,CA,Bakersfield,93311,public,#34,85,17212,3.5,8188,900-1208,16-22
California State University--Channel Islands,CA,Camarillo,93012,public,#28,93,18697,,6471,N/A,N/A
California State University--Chico,CA,Chico,95929,public,#16,92,19944,3.4,12885,930-1186,20-28
California State University--Dominguez Hills,CA,Carson,90747,public,#38,89,17876,3.2,13816,N/A,N/A
California State University--East Bay,CA,Hayward,94542,public,#280,82,18875,,12114,N/A,N/A
"California State University, Fresno",CA,Fresno,93740,public,#185,95,13112,3.5,21305,880-1140,16-24
California State University--Fullerton,CA,Fullerton,92831,public,#133,67,18954,3.7,35239,910-1190,18-27
California State University--Long Beach,CA,Long Beach,90840,public,#105,40,17200,3.7,32711,N/A,N/A
California State University--Los Angeles,CA,Los Angeles,90032,public,#21,87,17388,3.4,22536,N/A,N/A
California State University--Maritime Academy,CA,Vallejo,94590,public,#2,82,18996,,880,N/A,N/A
California State University--Monterey Bay,CA,Seaside,93955,public,#14,92,19233,3.5,6253,1008-1263,20-28
California State University--Northridge,CA,Northridge,91330,public,#25,68,18949,3.4,31957,N/A,N/A
