institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Mount St. Mary's University,regional-universities-north,MD,Emmitsburg,21727,#69,69,47240,3.5,1896,1040,19-25
Mount Vernon Nazarene University,regional-universities-midwest,OH,Mount Vernon,43050,#67,67,34168,3.6,1628,963,19-27
Muhlenberg College,national-liberal-arts-colleges,PA,Allentown,18104,#70,70,60240,3.5,1945,1200,29-33
Multnomah University,regional-universities-west,OR,Portland,97220,#82,82,28810,,336,,N/A
Murray State University,regional-universities-south,KY,Murray,42071,#31,31,14328,3.6,7756,980,19-26
Muskingum University,regional-universities-midwest,OH,New Concord,43762,#46,46,31690,3.3,1477,950,17-22
Naropa University,regional-universities-west,CO,Boulder,80302,#105-115,-1,34800,,325,,N/A
National Louis University,national-universities,IL,Chicago,60603,#395-435,-1,11580,2.8,3601,,N/A
National University,regional-universities-west,CA,La Jolla,92037,#105-115,-1,13320,,8485,,N/A
National University College,regional-universities-south,PR,Bayamon,,#123-135,-1,7158,,23730,,N/A
Navajo Technical University,tribal,NM,Crownpoint,,Unranked,-2,3278,,1291,,N/A
Nazareth University,regional-universities-north,NY,Rochester,14618,#54,54,40880,3.5,1987,1140,24-28
Nebraska Methodist College,health,NE,Omaha,68114,Unranked,-2,16883,,857,,N/A
Nebraska Wesleyan University,regional-universities-midwest,NE,Lincoln,68504,#38,38,41658,3.7,1545,1010,22-27
Neumann University,regional-universities-north,PA,Aston,19014,#123,123,37590,3.3,1682,930,N/A
Neumont College of Computer Science,specialty-engineering,UT,,,Unranked,-2,26505,,517,,N/A
Nevada State University,regional-colleges-west,NV,Henderson,89002,#35,35,19964,,7158,,N/A
Newberry College,regional-colleges-south,SC,Newberry,29108,#10,10,30050,3.7,1292,928,16-23
New College of Florida,national-liberal-arts-colleges,FL,Sarasota,34243,#100,100,29944,3.9,669,1103,24-31
New England College,regional-universities-north,NH,Henniker,03242,#151-167,-1,41454,2.9,1041,,N/A
New England Conservatory of Music,specialty-arts,MA,Boston,02115,Unranked,-2,55210,,423,,N/A
New England Institute of Technology,regional-universities-north,RI,East Greenwich,02818,Unranked,-2,35625,2.9,1720,,N/A
New Jersey City University,regional-universities-north,NJ,Jersey City,07305,#143,143,24163,3.2,4895,890,N/A
New Jersey Institute of Technology,national-universities,NJ,Newark,07102,#86,86,34972,3.8,9019,1190,27-33
Newman University,regional-universities-midwest,KS,Wichita,67213,#124,124,34400,,2154,,17-25
New Mexico Highlands University,regional-universities-west,NM,Las Vegas,87701,#98,98,11988,,1544,,N/A
New Mexico State University,national-universities,NM,Las Cruces,88003,#296,296,27385,3.5,11591,900,17-23
New Mexico Tech,regional-universities-west,NM,Socorro,87801,#34,34,26312,3.7,1218,1110,21-28
New Orleans Baptist Theological Seminary,faith,LA,New Orleans,70126,Unranked,-2,10820,,792,,N/A
The New School,national-universities,NY,New York,10011,#201,201,56244,3.6,7208,,N/A
NewSchool of Architecture and Design,regional-universities-west,CA,San Diego,92101,#91,91,30291,,301,,N/A
New York Institute of Technology,regional-universities-north,NY,Old Westbury,11568,#21,21,44360,3.6,3453,1118,24-31
New York School of Interior Design,specialty-arts,NY,New York,10021,Unranked,-2,28580,,487,,N/A
New York University,national-universities,NY,New York,10012,#35,35,60438,3.8,29401,1470,33-35
Niagara University,regional-universities-north,NY,Niagara University,14109,#30,30,37920,3.6,2709,1030,24-28
Nicholls State University,regional-universities-south,LA,Thibodaux,70310,#69,69,9249,3.4,5328,945,19-24
Nichols College,regional-universities-north,MA,Dudley,01571,#118,118,40475,3,1164,940,N/A
Nightingale College,unranked,UT,,,Unranked,-2,70800,,2273,,N/A
Norfolk State University,regional-universities-south,VA,Norfolk,23504,#55,55,21412,3,5337,840,15-20
North Carolina Agricultural and Technical State University,national-universities,NC,Greensboro,27411,#280,280,20243,3.8,11833,960,17-23
North Carolina Central University,regional-universities-south,NC,Durham,27707,#26,26,19715,3.2,5634,810,15-23
North Carolina State University,national-universities,NC,Raleigh,27695,#60,60,31976,3.8,26254,1245,24-31
North Carolina Wesleyan University,regional-colleges-south,NC,Rocky Mount,27804,#47,47,35936,,1249,860,15-21
North Central College,regional-universities-midwest,IL,Naperville,60540,#24,24,44394,3.7,2368,1020,22-28
North Central University,regional-colleges-midwest,MN,Minneapolis,55404,#23,23,29460,3.4,809,,N/A
North Dakota State University,national-universities,ND,Fargo,58108,#249,249,15646,3.5,10096,968,19-25
Northeastern Illinois University,regional-universities-midwest,IL,Chicago,60625,#139,139,22725,,4205,,12-22
Northeastern State University,regional-universities-west,OK,Tahlequah,74464,#62,62,17172,3.4,5225,,17-23
Northeastern University,national-universities,MA,Boston,02115,#53,53,63141,,16302,1440,33-35
Northern Arizona University,national-universities,AZ,Flagstaff,86011,#249,249,28900,3.7,23207,1050,19-25
Northern Illinois University,national-universities,IL,DeKalb,60115,#269,269,12504,3.4,11429,,N/A
Northern Kentucky University,national-universities,KY,Highland Heights,41099,#382,382,21480,3.4,10776,1030,19-25
Northern Marianas College,regional-colleges-west,MP,Saipan,96950,#40,40,5520,,1298,,N/A
Northern Michigan University,regional-universities-midwest,MI,Marquette,49855,#60,60,18800,3.4,6434,,N/A
Northern New Mexico College,regional-colleges-west,NM,Espanola,87532,#32,32,14329,,1136,,N/A
Northern State University,regional-universities-midwest,SD,Aberdeen,57401,#88,88,11947,3.4,2851,800,18-24
North Florida College,regional-colleges-south,FL,Madison,32340,#13,13,11400,,1127,,N/A
North Greenville University,regional-universities-south,SC,Tigerville,29688,#36,36,24500,3.8,1839,1060,22-28
Northland College,regional-colleges-midwest,WI,Ashland,54806,#33,33,41237,,531,1010,20-27
North Park University,regional-universities-midwest,IL,Chicago,60625,#30,30,34020,,1849,890,20-26
North Seattle College,regional-colleges-west,WA,Seattle,98103,Unranked,-2,5547,,4887,,N/A
Northwestern College,regional-universities-midwest,IA,Orange City,51041,#43,43,35300,3.6,1169,1030,20-25
Northwestern Health Sciences University,health,MN,Bloomington,55431,Unranked,-2,11007,,387,,N/A
Northwestern Michigan College,regional-colleges-midwest,MI,Traverse City,49686,Unranked,-2,12048,,3296,,N/A
Northwestern Oklahoma State University,regional-universities-west,OK,Alva,73717,#86,86,11664,3.4,1647,830,16-22
Northwestern State University of Louisiana,regional-universities-south,LA,Natchitoches,71497,#73,73,19460,3.3,8358,925,18-23
Northwestern University,national-universities,IL,Evanston,60208,#9,9,65997,,8659,1490,33-35
Northwest Florida State College,regional-colleges-south,FL,Niceville,32578,Unranked,-2,11625,,4697,,N/A
Northwest Indian College,tribal,WA,Bellingham,,Unranked,-2,3969,,622,,N/A
Northwest Missouri State University,regional-universities-midwest,MO,Maryville,64468,#76,76,19461,3.5,5308,938,18-24
Northwest Nazarene University,regional-universities-west,ID,Nampa,83686,#50,50,39370,3.7,1140,1000,19-27
Northwest University,regional-universities-west,WA,Kirkland,98033,#44,44,36036,3.6,723,1050,22-30
Northwood University,specialty-business,MI,Midland,48640,Unranked,-2,33000,3.5,1038,,N/A
Norwich University,regional-universities-north,VT,Northfield,05663,#90,90,50600,3.3,2854,1040,22-28
Notre Dame College of Ohio,regional-colleges-midwest,OH,Cleveland,44121,#53,53,31950,,1376,890,16-22
Notre Dame of Maryland University,regional-universities-north,MD,Baltimore,21210,#54,54,41910,3.4,660,998,N/A
Nova Southeastern University,national-universities,FL,Ft. Lauderdale,33314,#227,227,37080,3.9,6971,1040,20-27
Nueta Hidatsa Sahnish College,tribal,ND,New Town,,Unranked,-2,3870,,187,,N/A
Oakland City University,national-universities,IN,Oakland City,47660,#304,304,27150,,699,895,17-23
Oakland University,national-universities,MI,Rochester,48309,#332,332,23188,3.5,12841,930,17-26
Oak Point University,health,IL,Oak Brook,60622,Unranked,-2,23188,,507,,N/A
Oakwood University,national-liberal-arts-colleges,AL,Huntsville,35896,#178,178,20040,,1378,,N/A
Oberlin College and Conservatory,national-liberal-arts-colleges,OH,Oberlin,44074,#51,51,64646,3.7,2986,1360,30-33
Occidental College,national-liberal-arts-colleges,CA,Los Angeles,90041,#35,35,63446,3.7,1942,1360,31-34
Oglala Lakota College,tribal,SD,Kyle,57752,Unranked,-2,2684,,1414,,N/A
Oglethorpe University,national-liberal-arts-colleges,GA,Atlanta,30319,#163,163,45806,,1491,1065,22-29
Ohio Christian University,regional-universities-midwest,OH,Circleville,43113,#148,148,23100,,1439,,N/A
Ohio Dominican University,regional-universities-midwest,OH,Columbus,43219,#95,95,34370,,846,883,16-24
Ohio Northern University,regional-colleges-midwest,OH,Ada,45810,#2,2,37600,3.8,2569,1075,21-28
The Ohio State University,national-universities,OH,Columbus,43210,#43,43,36722,,46123,1310,29-32
Ohio University,national-universities,OH,Athens,45701,#178,178,24114,3.8,17860,1080,22-27
Ohio Wesleyan University,national-liberal-arts-colleges,OH,Delaware,43015,#116,116,52297,3.7,1410,1123,23-30
Oklahoma Baptist University,regional-universities-west,OK,Shawnee,74804,#44,44,34050,3.2,1330,960,17-24
Oklahoma Christian University,regional-universities-west,OK,Oklahoma City,73136,#56,56,25900,3.6,2003,1020,19-27
Oklahoma City University,national-universities,OK,Oklahoma City,73106,#280,280,33586,3.8,1361,1080,20-26
Oklahoma Panhandle State University,regional-colleges-west,OK,Goodwell,73939,#37,37,8426,3.1,1242,863,17-21
Oklahoma State University,national-universities,OK,Stillwater,74078,#185,185,24764,3.6,20801,1010,20-27
Oklahoma State University Institute of Technology--Okmulgee,regional-colleges-west,OK,Okmulgee,74447,Unranked,-2,11384,3.2,2364,,N/A
Oklahoma State University--Oklahoma City,regional-colleges-west,OK,Oklahoma City,73107,Unranked,-2,9564,,4456,,N/A
Oklahoma Wesleyan University,regional-universities-west,OK,Bartlesville,74006,#79,79,30262,,782,880,16-23
Old Dominion University,national-universities,VA,Norfolk,23529,#280,280,32662,3.4,18375,1090,22-27
Olivet Nazarene University,regional-universities-midwest,IL,Bourbonnais,60914,#47,47,37940,,2519,930,18-27
Olympic College,regional-colleges-west,WA,Bremerton,98337,Unranked,-2,9740,,4999,,N/A
Oral Roberts University,regional-universities-west,OK,Tulsa,74171,#74,74,34100,3.6,4402,1020,19-26
Oregon Health and Science University,special-focus-research,OR,Portland,97239,Unranked,-2,43575,,783,,N/A
Oregon Institute of Technology,regional-colleges-west,OR,Klamath Falls,97601,#5,5,35592,3.5,4804,1050,23-30
Oregon State University,national-universities,OR,Corvallis,97331,#142,142,35664,3.6,28905,1130,22-30
Otis College of Art and Design,specialty-arts,CA,Los Angeles,90045,Unranked,-2,50040,3.2,1268,,N/A
Ottawa University,regional-colleges-midwest,KS,Ottawa,66067,#32,32,33380,3.3,853,860,18-23
Otterbein University,regional-universities-midwest,OH,Westerville,43081,#20,20,34899,3.8,2173,1035,20-27
Ouachita Baptist University,national-liberal-arts-colleges,AR,Arkadelphia,71998,#178,178,32480,3.8,1730,1020,21-29
Our Lady of the Lake University,national-universities,TX,San Antonio,78207,#395-435,-1,31728,3.6,1195,900,15-16
Ozark Christian College,faith,MO,Joplin,64801,Unranked,-2,15550,3.5,619,,N/A
Pace University,national-universities,NY,New York,10038,#249,249,51424,3.4,8223,1120,24-29
Pacific College,health,CA,Costa Mesa,,Unranked,-2,40000,,356,,N/A
Pacific Lutheran University,regional-universities-west,WA,Tacoma,98447,#25,25,50964,3.7,2301,1253,27-30
Pacific Northwest College of Art,specialty-arts,OR,Portland,97209,Unranked,-2,45100,,397,,N/A
Pacific Oaks College,regional-universities-west,CA,Pasadena,91103,Unranked,-2,11692,,479,,N/A
Pacific Union College,regional-colleges-west,CA,Angwin,94508,#13,13,35214,3.5,848,990,19-26
Pacific University,national-universities,OR,Forest Grove,97116,#209,209,54466,3.7,1639,1010,20-26
Paine College,national-liberal-arts-colleges,GA,Augusta,30901,#186-204,-1,14596,,251,,N/A
Palm Beach Atlantic University,national-universities,FL,West Palm Beach,33416,#382,382,35900,,3028,1000,19-26
Palm Beach State College,regional-colleges-south,FL,Lake Worth,33461,Unranked,-2,16895,2.9,24223,,N/A
Parker University,regional-universities-west,TX,Dallas,75229,Unranked,-2,15718,,466,,N/A
Park University,regional-universities-midwest,MO,Parkville,64152,#149-164,-1,12671,,7387,,N/A
Pasco-Hernando State College,regional-colleges-south,FL,New Port Richey,34654,Unranked,-2,12032,,9257,,N/A
Patrick Henry College,national-liberal-arts-colleges,VA,Purcellville,20132,Unranked,-2,28425,3.8,409,,N/A
Paul Quinn College,regional-colleges-west,TX,Dallas,75241,#38,38,13798,,384,,N/A
Paul Smith's College,regional-colleges-north,NY,Paul Smiths,12970,#25,25,32048,,711,,N/A
Peirce College,regional-colleges-north,PA,Philadelphia,19102,Unranked,-2,15060,,788,,N/A
Peninsula College,regional-colleges-west,WA,Port Angeles,98362,Unranked,-2,4919,,1702,,N/A
Pennsylvania Academy of the Fine Arts,specialty-arts,PA,Philadelphia,19102,Unranked,-2,42100,,121,,N/A
Pennsylvania College of Art & Design,specialty-arts,PA,Lancaster,17608,Unranked,-2,29450,,245,,N/A
Pennsylvania College of Technology,regional-colleges-north,PA,Williamsport,17701,#6,6,25680,3.1,4234,1008,19-23
Pennsylvania State University -- Behrend,regional-universities-north,PA,Erie,16563,Unranked,-2,26370,,0,,N/A
Pennsylvania State University--Berks,regional-universities-north,PA,,,Unranked,-2,26370,,0,,N/A
Pennsylvania State University--Harrisburg,regional-universities-north,PA,Middletown,17057,Unranked,-2,26370,,0,,N/A
The Pennsylvania State University--University Park,national-universities,PA,University Park,16802,#60,60,38651,3.7,41745,1210,26-31
Pennsylvania Western University,regional-universities-north,PA,California,15419,#135,135,14816,3.4,9404,940,18-25
Pensacola State College,regional-colleges-south,FL,Pensacola,32504,Unranked,-2,17225,,8604,,N/A
Pepperdine University,national-universities,CA,Malibu,90263,#76,76,66742,3.8,3662,1285,28-32
Peru State College,regional-universities-midwest,NE,Peru,68421,#148,148,7920,,1763,,N/A
Pfeiffer University,regional-universities-south,NC,Misenheimer,28109,#71,71,33290,,744,891,18-25
Philander Smith College,regional-colleges-south,AR,Little Rock,72202,#60,60,13014,,769,,N/A
Phillips School of Nursing at Mount Sinai Beth Israel,health,NY,New York,,Unranked,-2,28323,,290,,N/A
Piedmont University,regional-universities-south,GA,Demorest,30535,#52,52,30680,3.5,1245,990,19-25
Pillar College,national-liberal-arts-colleges,NJ,Newark,,#186-204,-1,23668,,443,,N/A
Pittsburgh Technical College,regional-colleges-north,PA,Oakdale,15071,Unranked,-2,18000,,1066,,N/A
Pittsburg State University,regional-universities-midwest,KS,Pittsburg,66762,#96,96,19654,,4560,,17-24
Pitzer College,national-liberal-arts-colleges,CA,Claremont,91711,#39,39,62692,3.9,1212,,N/A
Platt College,health,CO,Aurora,80014,Unranked,-2,20590,,236,,N/A
Plaza College,regional-colleges-north,NY,Forest Hills,11375,Unranked,-2,14425,,896,,N/A
Plymouth State University,regional-universities-north,NH,Plymouth,03264,#130,130,25498,3,3308,,N/A
Point Loma Nazarene University,regional-universities-west,CA,San Diego,92106,#9,9,43550,3.7,3154,1160,23-30
Point Park University,national-universities,PA,Pittsburgh,15222,#352,352,48070,3.6,2418,1030,19-26
Point University,regional-colleges-south,GA,West Point,31833,#74,74,22300,,1638,890,16-21
Polk State College,regional-colleges-south,FL,Winter Haven,33881,Unranked,-2,12272,,9044,,N/A
Pomona College,national-liberal-arts-colleges,CA,Claremont,91711,#4,4,62326,,1791,1480,33-35
Pontifical Catholic University of Puerto Rico--Arecibo,national-universities,PR,Arecibo,00614,Unranked,-2,5818,,361,,N/A
Pontifical Catholic University of Puerto Rico--Ponce,national-universities,PR,Ponce,00717,#380,380,5920,,4473,,N/A
Pontifical College Josephinum,national-liberal-arts-colleges,OH,Columbus,43235,Unranked,-2,26763,,32,,N/A
Portland State University,national-universities,OR,Portland,97207,#280,280,24495,3.4,16864,1070,18-27
Post University,regional-universities-north,CT,Waterbury,06708,#151-167,-1,32525,,14944,,N/A
Prairie View A&M University,national-universities,TX,Prairie View,77446,#395-435,-1,26874,,8444,840,18-20
Pratt Institute,specialty-arts,NY,Brooklyn,11205,Unranked,-2,59683,3.8,3702,,N/A
Presbyterian College,national-liberal-arts-colleges,SC,Clinton,29325,#139,139,43300,3.3,955,1020,21-27
Prescott College,regional-universities-west,AZ,Prescott,86301,#90,90,35685,,317,,N/A
Princeton University,national-universities,NJ,Princeton,08544,#1,1,59710,3.9,5604,1500,34-35
Principia College,national-liberal-arts-colleges,IL,Elsah,62028,#51,51,33280,3.3,314,1027,16-26
Providence Christian College,national-liberal-arts-colleges,CA,Pasadena,91104,#186-204,-1,33884,,123,,N/A
Providence College,regional-universities-north,RI,Providence,02918,#1,1,60848,3.6,4279,1260,28-32
Provo College,health,UT,Provo,,Unranked,-2,17112,,684,,N/A
Pueblo Community College,regional-colleges-west,CO,Pueblo,81004,Unranked,-2,16275,,5938,,N/A
Puerto Rico Conservatory of Music,specialty-arts,PR,San Juan,00907,Unranked,-2,3370,,325,,N/A
Purchase College--SUNY,national-liberal-arts-colleges,NY,Purchase,10577,#139,139,18863,3.4,3145,1190,29-31
Purdue University--Fort Wayne,regional-universities-midwest,IN,Fort Wayne,46805,#117,117,22220,3.4,8390,980,20-27
Purdue University Global,national-universities,IN,West Lafayette,,#395-435,-1,14445,,32477,,N/A
Purdue University--Main Campus,national-universities,IN,West Lafayette,47907,#43,43,28794,3.7,37949,1200,27-34
Purdue University--Northwest,regional-universities-midwest,IN,Hammond,46323,#103,103,13096,3.1,6126,950,18-24
Queens University of Charlotte,regional-universities-south,NC,Charlotte,28274,#16,16,42790,,1317,1080,22-29
Quincy University,regional-colleges-midwest,IL,Quincy,62301,#36,36,35740,3.4,1146,1080,21-26
Quinnipiac University,national-universities,CT,Hamden,06518,#170,170,53090,3.5,6073,1120,24-29
Radford University,national-universities,VA,Radford,24142,#304,304,24738,3.4,6008,960,19-23
Ramapo College of New Jersey,regional-universities-north,NJ,Mahwah,07430,#27,27,25374,3.5,4932,1100,21-28
Randolph College,national-liberal-arts-colleges,VA,Lynchburg,24503,#165,165,29010,3.3,478,930,22-30
Randolph-Macon College,national-liberal-arts-colleges,VA,Ashland,23005,#107,107,48106,3.7,1490,1020,23-27
Ranken Technical College,regional-colleges-midwest,MO,Saint Louis,63113,Unranked,-2,16960,,1826,,N/A
Rasmussen University,unranked,MN,,,Unranked,-2,11205,,3658,,N/A
Red Rocks Community College,regional-colleges-west,CO,Lakewood,80228,Unranked,-2,16135,,5938,,N/A
Reed College,national-liberal-arts-colleges,OR,Portland,97202,#67,67,64760,,1548,,N/A
Regent's American College London,unranked,,London NW1 4NS,,Unranked,-2,,,0,,N/A
Regent University,national-universities,VA,Virginia Beach,23464,#369,369,20685,3.5,4552,1030,19-25
Regis College,regional-universities-north,MA,Weston,02493,#45,45,47770,3.3,1121,1040,23-27
Regis University,national-universities,CO,Denver,80221,#260,260,43980,3.7,2398,1010,20-27
Reinhardt University,regional-colleges-south,GA,Waleska,30183,#34,34,28420,3.2,1059,900,14-24
Rensselaer Polytechnic Institute,national-universities,NY,Troy,12180,#60,60,61884,3.9,5895,1360,30-34
Renton Technical College,regional-colleges-west,WA,Renton,98056,Unranked,-2,6252,,3097,,N/A
Research College of Nursing,health,MO,Kansas City,64132,Unranked,-2,18000,,259,,N/A
Rhode Island College,regional-universities-north,RI,Providence,02908,#96,96,26519,,4719,870,N/A
Rhode Island School of Design,regional-universities-north,RI,Providence,02903,#4,4,57505,,2044,1310,28-34
Rhodes College,national-liberal-arts-colleges,TN,Memphis,38112,#56,56,54892,3.7,1996,1305,28-32
Rice University,national-universities,TX,Houston,77005,#17,17,58128,,4494,1490,34-36
Richmond American University London,unranked,,"Chiswick, London W4 5AN",,Unranked,-2,,,0,,N/A
Rider University,regional-universities-north,NJ,Lawrenceville,08648,#33,33,38900,3.5,3168,1100,21-29
Ringling College of Art and Design,specialty-arts,FL,Sarasota,34234,Unranked,-2,55260,3.5,1705,,N/A
Rio Hondo College,regional-colleges-west,CA,Whittier,90601,Unranked,-2,9884,,15593,,N/A
Ripon College,national-liberal-arts-colleges,WI,Ripon,54971,#146,146,50700,3.4,766,990,19-27
Rivier University,regional-universities-north,NH,Nashua,03060,#151-167,-1,36610,,1454,,N/A
Roanoke College,national-liberal-arts-colleges,VA,Salem,24153,#130,130,36774,3.4,1826,1060,19-26
Robert Morris University,national-universities,PA,Moon Township,15108,#201,201,34740,3.7,2782,,N/A
Roberts Wesleyan College,regional-universities-north,NY,Rochester,14624,#91,91,37380,3.6,1052,1150,25-30
Rochester Institute of Technology,national-universities,NY,Rochester,14623,#98,98,57016,3.7,13940,1270,29-33
Rochester University,regional-colleges-midwest,MI,Rochester Hills,48307,#51,51,26735,,1087,,N/A
Rockford University,regional-universities-midwest,IL,Rockford,61108,#138,138,36800,3.2,951,840,12-20
Rockhurst University,regional-universities-midwest,MO,Kansas City,64110,#13,13,42901,3.7,2545,1050,19-27
Rocky Mountain College,regional-universities-west,MT,Billings,59102,#91,91,33252,3.4,845,970,18-24
Rocky Mountain College of Art and Design,regional-colleges-west,CO,Lakewood,80214,#29,29,22607,,1837,,N/A
Rogers State University,regional-colleges-west,OK,Claremore,74017,#31,31,16260,3.4,3063,818,17-23
Roger Williams University,regional-universities-north,RI,Bristol,02809,#50,50,42666,3.4,4103,1120,25-31
Rollins College,regional-universities-south,FL,Winter Park,32789,#1,1,58300,3.5,2263,1120,23-29
Roosevelt University,national-universities,IL,Chicago,60605,#390,390,20280,3,2391,860,21-27
Rose-Hulman Institute of Technology,specialty-engineering,IN,Terre Haute,47803,Unranked,-2,54174,3.9,2169,,N/A
Roseman University of Health Sciences,health,NV,Henderson,,Unranked,-2,41667,,559,,N/A
Rosemont College,regional-universities-north,PA,Rosemont,19010,#148,148,21175,3,425,980,18-23
Rowan University,national-universities,NJ,Glassboro,08028,#163,163,25564,3.4,15264,1090,23-31
Russell Sage College,national-universities,NY,Troy,12180,#195,195,36756,3.3,1126,900,15-25
Rust College,national-liberal-arts-colleges,MS,Holly Springs,38635,#186-204,-1,9900,,768,,N/A
Rutgers University--Camden,national-universities,NJ,Camden,08102,#98,98,35841,,4185,1030,25-30
Rutgers University--Newark,national-universities,NJ,Newark,07102,#82,82,35348,,7511,1030,21-28
Rutgers University--New Brunswick,national-universities,NJ,Piscataway,08854,#40,40,36001,,36344,1270,28-33
Sacred Heart Major Seminary,national-liberal-arts-colleges,MI,Detroit,48206,Unranked,-2,22277,,190,,N/A
Sacred Heart University,national-universities,CT,Fairfield,06825,#209,209,48460,3.7,6782,1140,26-29
Saginaw Valley State University,regional-universities-midwest,MI,University Center,48710,#120,120,27164,,6789,960,19-25
Saint Anselm College,national-liberal-arts-colleges,NH,Manchester,03102,#89,89,46800,3.4,1959,1120,26-30
Saint Anthony College of Nursing,health,IL,Rockford,61114,Unranked,-2,27811,,181,,N/A
Saint Augustine's University,regional-colleges-south,NC,Raleigh,27610,#86,86,16896,0,937,,N/A
Saint Elizabeth University,regional-universities-north,NJ,Morristown,07960,#96,96,35836,,737,,N/A
Saint Johns River State College,regional-colleges-south,FL,Palatka,32177,Unranked,-2,10347,,6318,,N/A
Saint Joseph's University,regional-universities-north,PA,Philadelphia,19131,#8,8,51340,,5073,1130,26-31
Saint Leo University,national-universities,FL,Saint Leo,33574,#390,390,28360,3.2,2336,930,19-25
Saint Louis University,national-universities,MO,St. Louis,63103,#105,105,53244,3.9,7426,1210,26-31
Saint Martin's University,regional-universities-west,WA,Lacey,98503,#33,33,44210,3.4,1367,925,19-24
Saint Mary-of-the-Woods College,regional-universities-midwest,IN,St. Mary-of-the-Woods,47876,#35,35,33490,3.2,815,868,18-30
Saint Mary's College,national-liberal-arts-colleges,IN,Notre Dame,46556,#82,82,51430,3.8,1406,1030,23-30
Saint Mary's College of California,regional-universities-west,CA,Moraga,94556,#4,4,56134,3.7,2003,1085,26-31
Saint Mary's University of Minnesota,national-universities,MN,Winona,55987,#296,296,43160,3.5,1100,,21-28
Saint Michael's College,national-liberal-arts-colleges,VT,Colchester,05439,#116,116,50040,,1209,1160,27-30
Saint Peter's University,regional-universities-north,NJ,Jersey City,07306,#45,45,41054,3.3,2068,910,22-26
Saint Vincent College,national-liberal-arts-colleges,PA,Latrobe,15650,#124,124,41785,3.6,1375,1030,22-28
Saint Xavier University,regional-universities-midwest,IL,Chicago,60655,#38,38,36840,3.6,2981,890,19-24
Salem College,national-liberal-arts-colleges,NC,Winston-Salem,27101,#139,139,32236,3.6,364,973,20-28
Salem State University,regional-universities-north,MA,Salem,01970,#96,96,18961,3.3,5078,1000,N/A
Salem University,regional-universities-south,WV,Salem,26426,#123-135,-1,13150,,782,,N/A
Salisbury University,regional-universities-north,MD,Salisbury,21801,#54,54,21332,3.7,6378,1180,22-27
Salish Kootenai College,tribal,MT,Pablo,59855,Unranked,-2,11583,,615,,N/A
Salve Regina University,regional-universities-north,RI,Newport,02840,#27,27,47930,3.6,2190,1130,25-28
Samford University,national-universities,AL,Birmingham,35229,#185,185,38144,3.8,3672,1080,23-29
Sam Houston State University,national-universities,TX,Huntsville,77340,#249,249,22996,0,18235,960,18-24
Samuel Merritt University,health,CA,Oakland,94609,Unranked,-2,86969,,728,,N/A
San Diego Christian College,regional-universities-west,CA,Santee,92071,#98,98,26300,,449,,N/A
San Diego Mesa College,regional-colleges-west,CA,San Diego,92111,Unranked,-2,7440,,18028,,N/A
San Diego State University,national-universities,CA,San Diego,92182,#105,105,20170,3.9,31724,,N/A
San Francisco Conservatory of Music,specialty-arts,CA,San Francisco,94102,Unranked,-2,52800,,228,,N/A
San Francisco State University,national-universities,CA,San Francisco,94132,#178,178,19404,,21868,,N/A
San Joaquin Valley College--Visalia,health,CA,Visalia,93291,Unranked,-2,16802,,2240,,N/A
San Jose State University,regional-universities-west,CA,San Jose,95192,#4,4,19872,3.6,26863,1070,21-29
San Juan Bautista School of Medicine,medical,PR,Caguas,,Unranked,-2,9849,,63,,N/A
Santa Ana College,regional-colleges-west,CA,Santa Ana,92706,Unranked,-2,8788,,23936,,N/A
Santa Clara University,national-universities,CA,Santa Clara,95053,#60,60,59241,3.7,6115,1290,29-33
Santa Fe College,regional-colleges-south,FL,Gainesville,32606,Unranked,-2,9189,,12830,,N/A
Santa Monica College,regional-colleges-west,CA,Santa Monica,90405,Unranked,-2,9094,,23408,,N/A
Sarah Lawrence College,national-liberal-arts-colleges,NY,Bronxville,10708,#100,100,63678,3.8,1462,1260,29-33
Savannah College of Art and Design,regional-universities-south,GA,Savannah,31402,#9,9,40095,3.6,13622,1060,20-28
Savannah State University,regional-universities-south,GA,Savannah,31404,#110,110,30274,,3138,,N/A
Schoolcraft College,regional-colleges-midwest,MI,Livonia,48152,Unranked,-2,7652,,8330,,N/A
School of the Art Institute of Chicago,specialty-arts,IL,Chicago,60603,Unranked,-2,54530,,2819,,N/A
School of Visual Arts,regional-universities-north,NY,New York,10010,#104,104,49140,3.4,3533,1168,27-33
Schreiner University,regional-universities-west,TX,Kerrville,78028,#67,67,37396,3.5,1098,920,17-24
Scripps College,national-liberal-arts-colleges,CA,Claremont,91711,#35,35,63434,,1081,1390,32-34
Seattle Central College,regional-colleges-west,WA,Seattle,98122,Unranked,-2,5354,,4698,,N/A
Seattle Pacific University,national-universities,WA,Seattle,98119,#269,269,38814,3.6,2428,1080,20-27
Seattle University,national-universities,WA,Seattle,98122,#163,163,54285,3.6,4099,1190,24-30
Seminole State College of Florida,regional-colleges-south,FL,Sanford,32773,Unranked,-2,11456,,15315,,N/A
Sentara College of Health Sciences,health,VA,Chesapeake,,Unranked,-2,2828,,260,,N/A
