institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Frostburg State University,regional-universities-north,MD,Frostburg,21532,#111,111,25180,,3264,970,18-25
Furman University,national-liberal-arts-colleges,SC,Greenville,29613,#46,46,58312,3.7,2283,1260,28-33
Galen College of Nursing--Louisville,health,KY,Louisville,,Unranked,-2,42420,,3992,,N/A
Gallaudet University,national-universities,DC,Washington,20002,#236,236,18254,3.8,914,753,14-20
Gannon University,national-universities,PA,Erie,16541,#260,260,36676,3.6,2991,1030,21-27
Gardner-Webb University,national-universities,NC,Boiling Springs,28017,#356,356,33230,,1983,960,18-24
Geneva College,regional-universities-north,PA,Beaver Falls,15010,#83,83,30990,,1180,,N/A
George Fox University,national-universities,OR,Newberg,97132,#269,269,40940,3.7,2534,1020,22-28
George Mason University,national-universities,VA,Fairfax,22030,#105,105,37976,3.7,27014,1140,25-31
Georgetown College,national-liberal-arts-colleges,KY,Georgetown,40324,#186-204,-1,42010,3.6,1233,1030,18-24
Georgetown University,national-universities,DC,Washington,20057,#22,22,65082,,7900,1390,32-35
George Washington University,national-universities,DC,Washington,20052,#67,67,64990,,11482,1330,31-34
Georgia College & State University,regional-universities-south,GA,Milledgeville,31061,#16,16,28178,3.5,5265,1060,21-26
Georgia Gwinnett College,regional-colleges-south,GA,Lawrenceville,30043,#47,47,16244,3,11030,900,15-20
Georgia Highlands College,regional-colleges-south,GA,Rome,30161,Unranked,-2,9696,,5240,,N/A
Georgia Institute of Technology,national-universities,GA,Atlanta,30332,#33,33,32876,,18415,1370,31-35
Georgia Military College,regional-colleges-south,GA,Milledgeville,31061,Unranked,-2,7043,,7014,,N/A
Georgian Court University,regional-universities-north,NJ,Lakewood,08701,#111,111,37110,3.6,1471,1043,20-24
Georgia Southern University,national-universities,GA,Statesboro,30460,#352,352,20816,3.4,22003,950,18-23
Georgia Southwestern State University,regional-universities-south,GA,Americus,31709,#103,103,19434,,2466,990,19-23
Georgia State University,national-universities,GA,Atlanta,30302,#227,227,29306,3.6,28927,940,19-26
Gettysburg College,national-liberal-arts-colleges,PA,Gettysburg,17325,#63,63,64230,,2241,1350,28-32
Glenville State University,regional-colleges-south,WV,Glenville,26351,#52,52,11140,,1557,,N/A
