institution.displayName,institution.state,institution.city,institution.isPublic,ranking.displayRank,searchData.tuition.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Ilisagvik College,AK,Barrow,True,Unranked,5260,,,268,N/A,N/A
Illinois College,IL,Jacksonville,True,#124,37470,77,3.6,1028,960-1130,21-26
Illinois Institute of Technology,IL,Chicago,True,#98,51763,61,,3125,1220-1410,28-32
Illinois State University,IL,Normal,True,#209,27011,86,3.6,18055,1000-1210,21-27
Illinois Wesleyan University,IL,Bloomington,True,#1,55704,42,3.8,1527,1120-1330,25-30
Immaculata University,PA,Immaculata,True,#280,28550,70,3.5,1508,1090-1260,N/A
Indiana State University,IN,Terre Haute,True,#382,21734,92,3.2,6965,915-1140,17-24
Indiana Tech,IN,Fort Wayne,True,#124,29560,72,3.4,1343,910-1160,18-24
Indiana University--Bloomington,IN,Bloomington,True,#73,40482,82,3.8,35660,1180-1400,27-32
Indiana University East,IN,Richmond,True,#103,22043,78,3.3,2786,960-1200,18-26
Indiana University--Kokomo,IN,Kokomo,True,#117,22043,86,3.3,2669,1000-1190,21-26
Indiana University Northwest,IN,Gary,True,#141,22043,80,3.1,2860,950-1170,20-25
Indiana University of Pennsylvania,PA,Indiana,True,#320,14864,92,3.4,7047,940-1150,17-23
Indiana University-Purdue University--Indianapolis,IN,Indianapolis,True,#201,33717,83,3.5,17727,1050-1250,21-27
Indiana University--South Bend,IN,South Bend,True,#112,22043,87,3.1,3753,970-1190,18-22
Indiana University Southeast,IN,New Albany,True,#133,22043,85,3.4,3227,1000-1190,20-25
Indiana Wesleyan University,IN,Marion,True,#13,29684,87,3.7,2236,1000-1190,21-27
Indian River State College,FL,Fort Pierce,True,Unranked,10201,,,14461,N/A,N/A
Institute of American Indian Arts,NM,Santa Fe,True,Unranked,5561,100,,742,N/A,N/A
Inter American University of Puerto Rico--Aguadilla,PR,Aguadilla,True,#118,5542,57,,3035,N/A,N/A
Inter American University of Puerto Rico--Arecibo,PR,Arecibo,True,#118,5580,53,,2728,N/A,N/A
Inter American University of Puerto Rico--Barranquitas,PR,Barranquitas,True,#43,5542,79,,1101,N/A,N/A
Inter American University of Puerto Rico--Bayamon,PR,Bayamon,True,#89,5580,68,,3816,N/A,N/A
Inter American University of Puerto Rico--Fajardo,PR,Fajardo,True,#81,5580,53,,1313,N/A,N/A
Inter American University of Puerto Rico--Guayama,PR,Guayama,True,#74,5580,92,,1506,N/A,N/A
Inter American University of Puerto Rico--Metropolitan Campus,PR,San Juan,True,#120,5580,65,,3735,N/A,N/A
Inter American University of Puerto Rico--Ponce,PR,Mercedita,True,#76,5580,62,,2968,N/A,N/A
Inter American University of Puerto Rico--San German,PR,San German,True,#93,5580,55,,2735,N/A,N/A
International College of the Cayman Islands,,Grand Cayman KY1-1501,True,Unranked,,,,0,N/A,N/A
Iona University,NY,New Rochelle,True,#60,45880,96,3.4,3032,1030-1210,23-31
Iowa State University of Science and Technology,IA,Ames,True,#115,26617,90,3.7,25241,1090-1350,21-28
Ithaca College,NY,Ithaca,True,#13,49883,75,,4619,1203-1380,28-32
Jackson College,MI,Jackson,True,Unranked,9375,,,4103,N/A,N/A
Jackson State University,MS,Jackson,True,#395-435,9445,62,,4763,940-980,16-20
Jacksonville State University,AL,Jacksonville,True,#63,21912,76,,8067,1010-1240,16-23
Jacksonville University,FL,Jacksonville,True,#36,46030,58,3.7,2563,1060-1240,20-26
James Madison University,VA,Harrisonburg,True,#124,30790,78,,20346,1140-1320,23-29
Jamestown Business College,NY,Jamestown,True,Unranked,12945,86,,287,N/A,N/A
Jarvis Christian University,TX,Hawkins,True,#34,11720,,,721,N/A,N/A
Jessup University,CA,Rocklin,True,#56,37150,66,3.5,1169,1020-1230,N/A
Jewish Theological Seminary of America,NY,New York,True,Unranked,68365,50,,144,N/A,N/A
John Brown University,AR,Siloam Springs,True,#13,30832,58,3.8,1659,1100-1360,21-28
John Carroll University,OH,University Heights,True,#3,49100,82,3.8,2417,1160-1320,25-30
John Paul the Great Catholic University,CA,Escondido,True,#15,29500,79,,300,1068-1288,19-24
Johns Hopkins University,MD,Baltimore,True,#9,63340,7,3.9,6044,1520-1570,34-35
Johnson C. Smith University,NC,Charlotte,True,#172,21714,9,,1052,N/A,N/A
Johnson University (TN),TN,Knoxville,True,#31,19274,81,,658,980-1185,19-24
Johnson & Wales University--Charlotte,NC,Charlotte,True,#24,39992,73,,1140,890-1122,16-22
Johnson & Wales University--Providence,RI,Providence,True,#69,39992,83,,4158,940-1190,22-29
Judson University,IL,Elgin,True,#108,30910,59,3.2,798,910-1140,16-27
Juilliard School,NY,New York,True,Unranked,53550,10,,608,N/A,N/A
Juniata College,PA,Huntingdon,True,#82,56402,76,3.6,1177,1120-1330,26-30
Kalamazoo College,MI,Kalamazoo,True,#70,56562,80,3.8,1210,1200-1370,26-32
Kansas City Art Institute,MO,Kansas City,True,Unranked,41924,60,,726,N/A,N/A
Kansas State University,KS,Manhattan,True,#170,27816,95,3.8,15046,N/A,20-27
Kansas Wesleyan University,KS,Salina,True,#41,33470,70,3.4,791,878-1138,17-22
Kean University,NJ,Union,True,#320,21076,83,3.2,10845,900-1163,16-25
Keene State College,NH,Keene,True,#12,26186,90,3.2,2755,930-1170,N/A
Keiser University,FL,Ft. Lauderdale,True,#249,36020,97,,16960,N/A,N/A
Kennesaw State University,GA,Kennesaw,True,#394-435,20966,68,3.5,39005,1030-1210,19-25
Kent State University,OH,Kent,True,#227,22316,88,3.7,20418,1000-1210,18-25
Kent State University at East Liverpool,OH,East Liverpool,True,#68-74,16164,,,1021,N/A,N/A
Kentucky Christian University,KY,Grayson,True,#64,25000,58,,603,800-1030,16-21
Kentucky State University,KY,Frankfort,True,#34,13260,91,2.7,1610,795-1060,14-23
Kentucky Wesleyan College,KY,Owensboro,True,#22,31300,69,3.5,780,980-1210,18-23
Kenyon College,OH,Gambier,True,#39,69330,34,3.9,1885,1370-1520,31-34
Kettering College,OH,Kettering,True,Unranked,14664,25,,617,N/A,N/A
Kettering University,MI,Flint,True,#9,46380,81,3.8,1422,1130-1370,24-30
Keuka College,NY,Keuka Park,True,#137,38000,93,3,985,940-1132,N/A
Keystone College,PA,La Plume,True,#29,17450,81,3.1,1060,910-1155,17-25
King's College,PA,Wilkes-Barre,True,#91,42600,96,3.3,1671,1070-1260,22-26
The King's College,NY,New York,True,#167,21690,44,,384,1140-1390,24-30
King University,TN,Bristol,True,#59,14771,61,3.4,1122,1010-1200,18-24
Knox College,IL,Galesburg,True,#75,55587,73,,1060,1163-1396,27-32
Kutztown University of Pennsylvania,PA,Kutztown,True,#116,15270,96,3.3,6508,1040-1260,19-26
Kuyper College,MI,Grand Rapids,True,#56,25370,69,,114,N/A,N/A
Laboure College,MA,Milton,True,Unranked,32813,75,,1038,N/A,N/A
Lackawanna College,PA,Scranton,True,Unranked,17340,,,1916,N/A,N/A
Lafayette College,PA,Easton,True,#30,61824,34,3.6,2729,1330-1480,30-33
LaGrange College,GA,LaGrange,True,#12,34540,59,3.4,607,N/A,N/A
Laguna College of Art and Design,CA,Laguna Beach,True,Unranked,34600,83,,735,N/A,N/A
Lake Erie College,OH,Painesville,True,#142,35024,55,,726,905-1130,17-23
Lake Forest College,IL,Lake Forest,True,#73,54202,60,3.8,1727,1155-1340,26-31
Lakeland University,WI,Plymouth,True,#140,31786,80,,1488,N/A,N/A
Lake Michigan College,MI,Benton Harbor,True,Unranked,7148,,,2729,N/A,N/A
Lake-Sumter State College,FL,Leesburg,True,Unranked,13276,,,4342,N/A,N/A
Lake Superior State University,MI,Sault Ste. Marie,True,#10,13840,79,3.2,1655,975-1180,18-23
Lakeview College of Nursing,IL,Danville,True,Unranked,18770,,,152,N/A,N/A
Lake Washington Institute of Technology,WA,Kirkland,True,Unranked,10390,,,3240,N/A,N/A
Lamar University,TX,Beaumont,True,#395-435,22826,84,3.3,8257,920-1130,16-24
Lancaster Bible College,PA,Lancaster,True,#141,28460,96,,1545,1010-1210,20-26
Lander University,SC,Greenwood,True,#20,21300,67,3.5,3562,950-1190,17-24
Landmark College,VT,Putney,True,Unranked,64290,45,,585,N/A,N/A
Lane College,TN,Jackson,True,#186-204,11790,37,2.6,1010,N/A,14-17
Langston University,OK,Langston,True,#105-115,14166,,,1814,N/A,N/A
La Roche University,PA,Pittsburgh,True,#137,33120,97,3.6,1802,970-1170,20-26
La Salle University,PA,Philadelphia,True,#201,35520,94,3.4,2776,N/A,N/A
Lasell University,MA,Newton,True,#104,26000,73,3.2,1247,995-1268,22-26
La Sierra University,CA,Riverside,True,#41,35910,95,3.5,1263,900-1190,16-24
Lawrence Technological University,MI,Southfield,True,#53,41872,82,3.5,2298,1030-1270,22-30
Lawrence University,WI,Appleton,True,#75,55461,72,3.7,1426,1210-1460,27-32
Lebanese American University,,Chouran,True,Unranked,,65,2.8,7228,N/A,N/A
Lebanon Valley College,PA,Annville,True,#64,50320,77,3.8,1683,1120-1280,23-31
Lees-McRae College,NC,Banner Elk,True,#28,29440,61,,855,1040-1240,20-26
Lee University,TN,Cleveland,True,#31,22690,73,3.7,3446,1010-1240,19-27
Lehigh University,PA,Bethlehem,True,#47,62180,37,,5624,1340-1490,30-33
Le Moyne College,NY,Syracuse,True,#17,38970,78,3.6,2600,1130-1290,26-31
LeMoyne-Owen College,TN,Memphis,True,#91-99,12076,98,,613,898-1093,13-17
Lenoir-Rhyne University,NC,Hickory,True,#40,30900,83,3.4,1530,995-1190,17-24
Lesley University,MA,Cambridge,True,#342,31364,87,,1757,N/A,N/A
LeTourneau University,TX,Longview,True,#34,35500,49,3.7,3350,1120-1380,20-29
Lewis & Clark College,OR,Portland,True,#93,62350,69,3.7,2210,1260-1400,29-32
Lewis-Clark State College,ID,Lewiston,True,#26,21386,100,,3709,N/A,N/A
Lewis University,IL,Romeoville,True,#13,37872,74,3.6,3933,1010-1200,21-29
Liberty University,VA,Lynchburg,True,#395-435,25040,99,3.4,48906,980-1200,17-24
Life Pacific University,CA,San Dimas,True,#20,20450,94,,397,N/A,N/A
Life University,GA,Marietta,True,#110,15036,98,3,915,830-1127,17-19
LIM College,NY,New York,True,Unranked,30950,84,3.1,1081,N/A,N/A
Limestone University,SC,Gaffney,True,#63,27500,90,3.5,1602,975-1170,20-27
Lincoln Christian University,IL,Lincoln,True,#149-164,14920,,,287,N/A,N/A
Lincoln Memorial University,TN,Harrogate,True,#269,26150,79,3.5,1560,982-1190,18-24
Lincoln University (CA),CA,Oakland,True,Unranked,11420,,,168,N/A,N/A
Lincoln University (MO),MO,Jefferson City,True,#64,15616,,,1689,N/A,N/A
Lincoln University (PA),PA,Lincoln University,True,#123,18464,81,3.1,1712,840-1040,15-20
Lindenwood University,MO,St. Charles,True,#121,19900,74,3.4,4808,890-1190,19-25
Lindsey Wilson College,KY,Columbia,True,#93,27274,,3.4,1753,N/A,17-22
Linfield University,OR,McMinnville,True,#107,49460,90,3.6,1704,N/A,N/A
Lipscomb University,TN,Nashville,True,#236,38824,71,3.8,2955,1130-1320,23-30
Livingstone College,NC,Salisbury,True,#78,18293,64,2.7,839,800-960,14-16
Logan University,MO,Chesterfield,True,Unranked,7800,66,,372,N/A,N/A
Loma Linda University,CA,Loma Linda,True,Unranked,37332,,,1073,N/A,N/A
Long Island University,NY,Brookville,True,#369,41492,93,3.4,11319,1100-1330,23-29
Longwood University,VA,Farmville,True,#21,27410,88,3.6,3154,1020-1210,N/A
Loras College,IA,Dubuque,True,#12,38298,90,3.5,1213,N/A,N/A
Louisiana Christian University,LA,Pineville,True,#105,19720,74,,832,960-1190,18-23
Louisiana State University--Alexandria,LA,Alexandria,True,#61,16640,58,,3771,970-1210,18-22
Louisiana State University--Baton Rouge,LA,Baton Rouge,True,#185,28631,76,3.8,30952,1140-1320,23-28
Louisiana State University Health Sciences Center,LA,New Orleans,True,Unranked,18851,,,893,N/A,N/A
Louisiana State University--Shreveport,LA,Shreveport,True,#93,7519,89,3.4,2465,1090-1140,19-24
Louisiana Tech University,LA,Ruston,True,#304,19608,82,3.6,10083,1120-1315,22-28
Lourdes University,OH,Sylvania,True,#120,28650,75,,912,N/A,17-23
Loyola Marymount University,CA,Los Angeles,True,#93,58489,41,3.9,7299,1300-1460,29-32
Loyola University Chicago,IL,Chicago,True,#142,51706,79,3.8,11703,1190-1370,27-32
Loyola University Maryland,MD,Baltimore,True,#7,55480,83,3.7,3977,1180-1360,26-33
Loyola University New Orleans,LA,New Orleans,True,#260,47240,78,3.6,3289,N/A,N/A
Lubbock Christian University,TX,Lubbock,True,#82,26300,82,3.7,1346,940-1190,19-24
Luther College,IA,Decorah,True,#116,50320,75,3.6,1610,1075-1330,22-29
Lycoming College,PA,Williamsport,True,#107,47450,75,3.6,1067,1053-1238,20-25
Lynn University,FL,Boca Raton,True,#49,42950,80,3.4,2792,1033-1185,21-25
Lyon College,AR,Batesville,True,#167,31000,60,3.6,495,1020-1148,21-26
Macalester College,MN,St. Paul,True,#27,64908,28,,2175,1370-1520,31-34
Madonna University,MI,Livonia,True,#84,27360,65,3.5,1780,870-1130,14-15
Maharishi International University,IA,Fairfield,True,#149-164,16530,95,,655,N/A,N/A
Maine College of Art,ME,Portland,True,Unranked,39830,72,,409,N/A,N/A
Maine Maritime Academy,ME,Castine,True,#5,30226,62,3.4,878,1075-1275,22-29
Malone University,OH,Canton,True,#101,36120,78,,1018,993-1178,18-24
Manchester University,IN,North Manchester,True,#60,35772,76,,981,N/A,N/A
Manhattan Christian College,KS,Manhattan,True,Unranked,17914,48,,158,N/A,N/A
Manhattan College,NY,Riverdale,True,#13,50848,82,3.6,3060,1140-1330,23-30
Manhattan School of Music,NY,New York,True,Unranked,52550,49,,500,N/A,N/A
Manhattanville College,NY,Purchase,True,#80,42550,84,3.3,1290,1040-1190,20-26
Manor College,PA,,True,Unranked,19414,95,,660,N/A,N/A
Maranatha Baptist University,WI,Watertown,True,#133,18810,75,3.6,738,990-1240,19-26
Maria College of Albany,NY,Albany,True,Unranked,16510,37,,752,N/A,N/A
Marian University (IN),IN,Indianapolis,True,#280,39100,94,,2860,N/A,N/A
Marian University (WI),WI,Fond du Lac,True,#124,33000,76,,1086,800-1080,18-23
Marietta College,OH,Marietta,True,#18,38974,83,3.5,1109,940-1130,18-24
Marist College,NY,Poughkeepsie,True,#10,46110,63,3.6,5475,1209-1360,25-30
Marquette University,WI,Milwaukee,True,#86,48700,87,3.6,7528,1170-1360,26-31
Marshall University,WV,Huntington,True,#332,19658,91,3.7,7962,910-1140,18-24
Mars Hill University,NC,Mars Hill,True,#20,37270,74,3.5,994,950-1170,18-24
Martin Luther College,MN,New Ulm,True,Unranked,17770,72,,755,N/A,N/A
Martin University,IN,Indianapolis,True,#186-204,13200,,,180,N/A,N/A
Mary Baldwin University,VA,Staunton,True,#395-435,33127,90,3.2,1314,930-1120,16-24
Maryland Institute College of Art,MD,Baltimore,True,Unranked,53815,86,,1540,N/A,N/A
Marymount Manhattan College,NY,New York,True,#174,40260,72,3.4,1608,1080-1280,22-28
Marymount University,VA,Arlington,True,#320,38250,81,3.3,2275,N/A,N/A
Maryville College,TN,Maryville,True,#172,38514,70,3.4,1065,930-1120,19-27
Maryville University of St. Louis,MO,St Louis,True,#249,27166,88,3.5,5809,960-1210,19-25
Marywood University,PA,Scranton,True,#50,39570,81,3.6,1916,1030-1200,18-26
Massachusetts College of Art and Design,MA,Boston,True,Unranked,42190,79,,1833,N/A,N/A
Massachusetts College of Liberal Arts,MA,North Adams,True,#121,21859,93,3.3,838,N/A,N/A
Massachusetts Institute of Technology,MA,Cambridge,True,#2,60156,4,,4657,1520-1580,35-36
Massachusetts Maritime Academy,MA,Buzzards Bay,True,#11,24186,89,3.3,1327,N/A,N/A
The Master's University and Seminary,CA,Santa Clarita,True,#332,32870,78,,1765,N/A,N/A
Mayville State University,ND,Mayville,True,#60,12487,61,,1147,N/A,16-24
McDaniel College,MD,Westminster,True,#80,49647,82,3.7,1762,1020-1260,23-29
McKendree University,IL,Lebanon,True,#84,34070,68,3.3,1483,920-1130,18-24
McMurry University,TX,Abilene,True,#23,31162,57,3.8,1231,1040-1230,20-25
McNeese State University,LA,Lake Charles,True,#86,9940,71,,5707,970-1180,18-24
McPherson College,KS,McPherson,True,#27,35162,59,3.3,815,908-1120,17-23
MCPHS University,MA,Boston,True,Unranked,37230,98,,3668,N/A,N/A
Medgar Evers College--CUNY,NY,Brooklyn,True,#182,18920,88,,3640,N/A,N/A
Medical University of South Carolina,SC,Charleston,True,Unranked,29509,,,334,N/A,N/A
Menlo College,CA,Atherton,True,Unranked,49090,70,,745,N/A,N/A
Mercer University,GA,Macon,True,#170,40890,75,3.9,4859,1190-1360,26-31
Mercy College of Health Sciences,IA,Des Moines,True,Unranked,16632,97,3,909,N/A,N/A
Mercy College of Ohio,OH,Toledo,True,Unranked,18950,89,,1120,N/A,N/A
Mercyhurst University,PA,Erie,True,#54,44510,86,3.5,2446,1050-1250,21-27
Mercy University,NY,Dobbs Ferry,True,#123,22106,86,3.3,6379,910-1190,23-27
Meredith College,NC,Raleigh,True,#130,43936,73,3.5,1322,1140-1320,22-28
Merrimack College,MA,North Andover,True,#33,51786,75,3.5,4229,1020-1260,22-28
Messiah University,PA,Mechanicsburg,True,#33,40640,79,3.8,2495,1090-1340,25-30
Methodist College,IL,Peoria,True,Unranked,18008,100,,514,N/A,N/A
Methodist University,NC,Fayetteville,True,#91,39664,76,3.6,1448,1063-1200,23-26
Metropolitan College of New York,NY,New York,True,#151-167,20188,77,,402,N/A,N/A
Metropolitan State University,MN,St. Paul,True,#96,9684,67,,6000,N/A,N/A
Metropolitan State University of Denver,CO,Denver,True,#94,29630,98,2.6,15848,920-1130,16-23
MGH Institute of Health Professions,MA,Boston,True,Unranked,86395,,,195,N/A,N/A
Miami Dade College,FL,Miami,True,Unranked,14437,,,47245,N/A,N/A
Miami International University of Art & Design,FL,Miami,True,#81,10794,,,894,N/A,N/A
Miami Regional University,FL,,True,Unranked,36366,,,393,N/A,N/A
Miami University--Hamilton,OH,Hamilton,True,#58,18196,,,2289,N/A,N/A
Miami University--Middletown,OH,Middletown,True,#58,18196,,,1492,N/A,N/A
Miami University--Oxford,OH,Oxford,True,#133,38127,88,3.9,16865,1160-1370,24-29
Michigan State University,MI,East Lansing,True,#60,41958,88,3.8,39201,1100-1340,24-30
Michigan Technological University,MI,Houghton,True,#151,41340,86,3.8,5710,1130-1350,24-30
Mid-America Christian University,OK,Oklahoma City,True,#105-115,18838,,,1662,N/A,N/A
MidAmerica Nazarene University,KS,Olathe,True,#112,36120,67,3.4,1159,916-1118,17-24
Mid-Atlantic Christian University,NC,Elizabeth City,True,#76,17040,48,,145,760-1160,14-21
Middlebury College,VT,Middlebury,True,#11,65280,13,,2773,1410-1540,33-35
Middle Georgia State University,GA,Macon,True,#105,17332,100,,7259,910-1140,15-23
Middle Tennessee State University,TN,Murfreesboro,True,#304,29584,73,3.6,17438,1020-1230,19-26
Midland College,TX,Midland,True,Unranked,5880,,,5016,N/A,N/A
Midland University,NE,Fremont,True,#147,38300,64,,1401,905-1150,19-23
Midway University,KY,Midway,True,#76,26080,94,3.2,1663,1010-1130,19-26
Midwestern Baptist Theological Seminary,MO,Kansas City,True,Unranked,9480,98,,942,N/A,N/A
Midwestern State University,TX,Wichita Falls,True,#52,11726,92,,4818,910-1130,17-23
Miles College,AL,Birmingham,True,#86,12714,,,1520,N/A,N/A
Millersville University of Pennsylvania,PA,Millersville,True,#116,21982,92,3.5,5851,980-1200,N/A
Milligan University,TN,Milligan,True,#15,39350,67,3.9,737,1065-1255,21-26
Millikin University,IL,Decatur,True,#15,43570,75,3.6,1708,930-1200,20-27
Millsaps College,MS,Jackson,True,#124,43815,68,,637,1135-1354,21-28
Milwaukee Institute of Art and Design,WI,Milwaukee,True,Unranked,41140,68,,898,N/A,N/A
Milwaukee School of Engineering,WI,Milwaukee,True,#2,48421,63,3.7,2575,1170-1390,25-31
Minneapolis College of Art and Design,MN,Minneapolis,True,Unranked,42560,66,,675,N/A,N/A
Minnesota State University--Mankato,MN,Mankato,True,#67,19366,71,3.4,12548,N/A,18-23
Minnesota State University--Moorhead,MN,Moorhead,True,#52,19072,72,,4026,1040-1180,19-25
Minot State University,ND,Minot,True,#120,8634,93,3.4,2530,992-1178,17-23
MiraCosta College,CA,Oceanside,True,Unranked,8448,,,11125,N/A,N/A
Misericordia University,PA,Dallas,True,#227,38370,76,3.5,1777,1000-1240,22-23
Mississippi College,MS,Clinton,True,#369,21698,40,3.7,2396,N/A,21-28
Mississippi State University,MS,Mississippi State,True,#216,26580,70,3.6,18305,1070-1280,21-29
Mississippi University for Women,MS,Columbus,True,#27,8092,99,3.5,2080,N/A,17-23
Mississippi Valley State University,MS,Itta Bena,True,#120,7334,65,2.8,1654,N/A,13-18
Missouri Baptist University,MO,St. Louis,True,#149-164,33316,62,,4251,870-1110,17-29
Missouri Southern State University,MO,Joplin,True,#141,16800,99,3.4,4052,960-1220,18-24
Missouri State University,MO,Springfield,True,#342,17144,94,,18837,1010-1200,20-26
Missouri University of Science and Technology,MO,Rolla,True,#185,31862,81,3.8,5501,1173-1370,25-31
Missouri Valley College,MO,Marshall,True,#68-74,22450,66,,1741,750-1100,16-21
Missouri Western State University,MO,St. Joseph,True,#140,16100,100,3.1,3824,N/A,16-22
Mitchell College,CT,New London,True,#35,37250,78,,526,N/A,N/A
Modesto Junior College,CA,Modesto,True,Unranked,7308,,,14642,N/A,N/A
Molloy University,NY,Rockville Centre,True,#50,37840,77,3.7,3271,1080-1310,24-28
Monmouth College,IL,Monmouth,True,#129,43520,66,,755,1080-1300,23-28
Monmouth University,NJ,West Long Branch,True,#17,44850,91,3.6,3811,1110-1300,22-30
Monroe College,NY,Bronx,True,#64,17922,60,2.6,5916,N/A,N/A
Montana State University,MT,Bozeman,True,#303,27990,73,,14648,1070-1300,20-27
Montana State University--Billings,MT,Billings,True,#102,19847,100,3.3,3665,N/A,17-22
Montana State University--Northern,MT,Havre,True,#18,18665,,,1008,N/A,N/A
Montana Technological University,MT,Butte,True,#41,24720,89,3.5,2092,1050-1320,18-24
Montclair State University,NJ,Montclair,True,#163,22470,91,3.3,17290,950-1200,N/A
Montreat College,NC,Montreat,True,#72,30810,90,,853,1030-1220,21-28
Montserrat College of Art,MA,Beverly,True,#21,37850,,,341,N/A,N/A
Moody Bible Institute,IL,Chicago,True,Unranked,13898,94,,1753,N/A,N/A
Moore College of Art & Design,PA,Philadelphia,True,Unranked,47990,58,,357,N/A,N/A
Moravian University,PA,Bethlehem,True,#39,52000,67,3.6,1904,1060-1253,21-26
Morehead State University,KY,Morehead,True,#45,14706,84,3.5,8218,1000-1190,18-25
Morehouse College,GA,Atlanta,True,#100,14734,59,3.5,2567,N/A,18-25
Morgan State University,MD,Baltimore,True,#332,18800,85,3.1,7609,880-1060,16-21
Morningside University,IA,Sioux City,True,#92,36610,74,,1245,N/A,N/A
Morris College,SC,Sumter,True,#79,15758,,,410,N/A,N/A
Mount Aloysius College,PA,Cresson,True,#27,25510,92,,2678,N/A,N/A
Mount Angel Seminary,OR,St. Benedict,True,Unranked,27832,40,,34,N/A,N/A
Mount Carmel College of Nursing,OH,Columbus,True,Unranked,13290,52,,621,N/A,N/A
Mount Holyoke College,MA,South Hadley,True,#34,64142,40,3.9,2193,1350-1540,30-34
Mount Marty University,SD,Yankton,True,#117,33100,68,3.4,1080,N/A,18-23
Mount Mary University,WI,Milwaukee,True,#47,34390,69,3.1,716,990-1070,17-23
Mount Mercy University,IA,Cedar Rapids,True,#56,37606,75,3.5,1271,N/A,18-24
Mount Saint Mary's University,CA,Los Angeles,True,#11,48132,76,3.4,1797,N/A,N/A
Mount St. Joseph University,OH,Cincinnati,True,#376,34900,54,3.5,1423,1068-1233,21-27
Mount St. Mary College,NY,Newburgh,True,#96,41370,88,3.4,1542,1075-1225,N/A
Mount St. Mary's University,MD,Emmitsburg,True,#69,47240,80,3.5,1896,1040-1250,19-25
Mount Vernon Nazarene University,OH,Mount Vernon,True,#67,34168,85,3.6,1628,963-1228,19-27
Muhlenberg College,PA,Allentown,True,#70,60240,66,3.5,1945,1200-1400,29-33
Multnomah University,OR,Portland,True,#82,28810,59,,336,N/A,N/A
Murray State University,KY,Murray,True,#31,14328,86,3.6,7756,980-1140,19-26
Muskingum University,OH,New Concord,True,#46,31690,86,3.3,1477,950-1120,17-22
Naropa University,CO,Boulder,True,#105-115,34800,100,,325,N/A,N/A
National Louis University,IL,Chicago,True,#395-435,11580,92,2.8,3601,N/A,N/A
National University,CA,La Jolla,True,#105-115,13320,55,,8485,N/A,N/A
National University College,PR,Bayamon,True,#123-135,7158,,,23730,N/A,N/A
Navajo Technical University,NM,Crownpoint,True,Unranked,3278,,,1291,N/A,N/A
Nazareth University,NY,Rochester,True,#54,40880,84,3.5,1987,1140-1320,24-28
Nebraska Methodist College,NE,Omaha,True,Unranked,16883,84,,857,N/A,N/A
Nebraska Wesleyan University,NE,Lincoln,True,#38,41658,81,3.7,1545,1010-1240,22-27
Neumann University,PA,Aston,True,#123,37590,85,3.3,1682,930-1160,N/A
Neumont College of Computer Science,UT,,True,Unranked,26505,91,,517,N/A,N/A
Nevada State University,NV,Henderson,True,#35,19964,79,,7158,N/A,N/A
Newberry College,SC,Newberry,True,#10,30050,75,3.7,1292,928-1103,16-23
New College of Florida,FL,Sarasota,True,#100,29944,75,3.9,669,1103-1360,24-31
New England College,NH,Henniker,True,#151-167,41454,96,2.9,1041,N/A,N/A
New England Conservatory of Music,MA,Boston,True,Unranked,55210,43,,423,N/A,N/A
New England Institute of Technology,RI,East Greenwich,True,Unranked,35625,77,2.9,1720,N/A,N/A
New Jersey City University,NJ,Jersey City,True,#143,24163,90,3.2,4895,890-1140,N/A
New Jersey Institute of Technology,NJ,Newark,True,#86,34972,66,3.8,9019,1190-1450,27-33
Newman University,KS,Wichita,True,#124,34400,72,,2154,N/A,17-25
New Mexico Highlands University,NM,Las Vegas,True,#98,11988,,,1544,N/A,N/A
New Mexico State University,NM,Las Cruces,True,#296,27385,78,3.5,11591,900-1140,17-23
New Mexico Tech,NM,Socorro,True,#34,26312,74,3.7,1218,1110-1320,21-28
New Orleans Baptist Theological Seminary,LA,New Orleans,True,Unranked,10820,,,792,N/A,N/A
The New School,NY,New York,True,#201,56244,57,3.6,7208,N/A,N/A
NewSchool of Architecture and Design,CA,San Diego,True,#91,30291,61,,301,N/A,N/A
New York Institute of Technology,NY,Old Westbury,True,#21,44360,76,3.6,3453,1118-1360,24-31
New York School of Interior Design,NY,New York,True,Unranked,28580,54,,487,N/A,N/A
New York University,NY,New York,True,#35,60438,12,3.8,29401,1470-1570,33-35
Niagara University,NY,Niagara University,True,#30,37920,90,3.6,2709,1030-1240,24-28
Nicholls State University,LA,Thibodaux,True,#69,9249,98,3.4,5328,945-1130,19-24
Nichols College,MA,Dudley,True,#118,40475,85,3,1164,940-1180,N/A
Nightingale College,UT,,True,Unranked,70800,,,2273,N/A,N/A
Norfolk State University,VA,Norfolk,True,#55,21412,89,3,5337,840-1040,15-20
North Carolina Agricultural and Technical State University,NC,Greensboro,True,#280,20243,56,3.8,11833,960-1140,17-23
North Carolina Central University,NC,Durham,True,#26,19715,84,3.2,5634,810-1130,15-23
North Carolina State University,NC,Raleigh,True,#60,31976,47,3.8,26254,1245-1440,24-31
North Carolina Wesleyan University,NC,Rocky Mount,True,#47,35936,68,,1249,860-1120,15-21
North Central College,IL,Naperville,True,#24,44394,61,3.7,2368,1020-1240,22-28
North Central University,MN,Minneapolis,True,#23,29460,58,3.4,809,N/A,N/A
