institution.displayName,institution.state,institution.city,institution.isPublic,ranking.displayRank,searchData.tuition.rawValue,searchData.acceptanceRate.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Baptist Health Sciences University,TN,Memphis,True,Unranked,13078,35,,910,N/A,N/A
Baptist Missionary Association Theological Seminary,TX,Jacksonville,True,Unranked,8850,85,,51,N/A,N/A
Barclay College,KS,Haviland,True,#48,24990,54,,168,N/A,N/A
Bard College,NY,Annandale on Hudson,True,#72,60270,60,,2171,N/A,N/A
Bard College at Simon's Rock,MA,Great Barrington,True,#32,66594,34,,304,N/A,N/A
Barnard College,NY,New York,True,#11,66246,9,,3442,1440-1550,32-34
Barry University,FL,Miami Shores,True,#395-435,32500,60,,3122,880-1070,17-22
Barton College,NC,Wilson,True,#10,35600,95,3.2,1187,970-1150,17-23
Bates College,ME,Lewiston,True,#24,63478,14,,1790,1310-1505,31-33
Bayamon Central University,PR,Bayamon,True,#123-135,5594,98,,759,N/A,N/A
Baylor University,TX,Waco,True,#93,54844,46,,15213,1230-1410,28-33
Bay Path University,MA,Longmeadow,True,#123,37227,75,,1338,1020-1140,N/A
Bay State College,MA,Boston,True,#41-44,2900,50,,346,N/A,N/A
Beacon College,FL,Leesburg,True,#3,47110,52,3.3,501,N/A,N/A
Belhaven University,MS,Jackson,True,#395-435,29195,46,3.5,1501,980-1200,18-24
Bellarmine University,KY,Louisville,True,#280,46780,88,3.6,2343,1100-1290,21-27
Bellevue College,WA,Bellevue,True,Unranked,9838,,,11546,N/A,N/A
Bellevue University,NE,Bellevue,True,#149-164,8790,,,8903,N/A,N/A
Bellin College,WI,Green Bay,True,Unranked,21900,85,,514,N/A,N/A
Bellingham Technical College,WA,Bellingham,True,Unranked,5357,,,1915,N/A,N/A
Belmont Abbey College,NC,Belmont,True,#30,19500,97,3.2,1475,950-1140,18-26
Belmont University,TN,Nashville,True,#236,41320,96,3.8,7376,1150-1340,24-30
Beloit College,WI,Beloit,True,#86,58554,66,3.3,964,1190-1360,26-31
Bemidji State University,MN,Bemidji,True,#83,10130,75,,3877,N/A,19-25
Benedict College,SC,Columbia,True,#86,18000,68,3.2,1796,820-1020,14-20
Benedictine College,KS,Atchison,True,#8,35350,100,3.6,2261,1095-1350,22-28
Benedictine University,IL,Lisle,True,#56,34290,93,3.3,2042,980-1260,19-27
Benjamin Franklin Institute of Technology,MA,Boston,True,Unranked,18228,,,476,N/A,N/A
Bennett College,NC,Greensboro,True,#180,18550,79,,207,N/A,N/A
Bennington College,VT,Bennington,True,#112,64644,45,3.6,785,1260-1370,29-33
Bentley University,MA,Waltham,True,#1,58610,58,,4131,1258-1420,28-32
Berea College,KY,Berea,True,#30,726,25,3.6,1433,1136-1298,23-27
Berkeley College (NJ),NJ,Woodland Park,True,#151-167,28600,90,2.8,1944,N/A,N/A
Berkeley College (NY),NY,New York,True,#36,28600,94,2.5,1818,N/A,N/A
Berklee College of Music,MA,Boston,True,#39,50270,54,,7499,N/A,N/A
Berry College,GA,Mount Berry,True,#5,40416,66,3.8,2243,1110-1290,21-29
Bethany College (KS),KS,Lindsborg,True,#63,31305,66,3.2,744,882-1020,15-22
Bethany College (WV),WV,Bethany,True,#186-204,32640,74,,545,870-1110,18-26
Bethany Lutheran College,MN,Mankato,True,#159,30010,58,3.5,784,990-1290,20-25
Bethel College,KS,North Newton,True,#23,34002,97,3.5,495,850-1070,18-24
Bethel University (IN),IN,Mishawaka,True,#47,33320,99,3.4,1150,980-1180,16-26
Bethel University (MN),MN,St. Paul,True,#236,42930,72,3.6,2533,N/A,20-28
Bethel University (TN),TN,McKenzie,True,#110,18168,47,,2332,N/A,15-21
Bethune-Cookman University,FL,Daytona Beach,True,#186-204,14794,85,3.3,2628,830-980,15-18
Binghamton University--SUNY,NY,Binghamton,True,#73,28203,42,3.9,14402,1340-1510,29-34
Biola University,CA,La Mirada,True,#236,46704,58,0,3499,1105-1365,23-30
Birmingham-Southern College,AL,Birmingham,True,#135,22750,57,3.7,975,1150-1280,22-29
Bismarck State College,ND,Bismarck,True,#39,8790,91,,3771,N/A,16-22
Blackburn College,IL,Carlinville,True,#35,26758,66,,414,888-1125,16-24
Black Hills State University,SD,Spearfish,True,#145,11866,97,,3261,990-1140,18-25
Blessing-Rieman College of Nursing and Health Sciences,IL,Quincy,True,Unranked,29180,,,141,N/A,N/A
Bluefield State University,WV,Bluefield,True,#57,17100,98,3.4,1281,880-1110,17-23
Bluefield University,VA,Bluefield,True,#104,29420,72,,718,N/A,N/A
Blue Mountain Christian University,MS,Blue Mountain,True,#17,19280,96,3.6,892,1000-1140,18-25
Bluffton University,OH,Bluffton,True,#22,36298,96,,664,843-1192,16-24
Bob Jones University,SC,Greenville,True,#24,23350,89,3.4,2665,N/A,N/A
Boise State University,ID,Boise,True,#332,26976,84,3.5,22962,950-1200,20-27
