institution.displayName,institution.city,institution.zip,ranking.displayRank,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Oregon Health and Science University,Portland,97239,Unranked,,N/A
Oregon Institute of Technology,Klamath Falls,97601,#5,1050,23-30
Oregon State University,Corvallis,97331,#142,1130,22-30
Otis College of Art and Design,Los Angeles,90045,Unranked,,N/A
Ottawa University,Ottawa,66067,#32,860,18-23
Otterbein University,Westerville,43081,#20,1035,20-27
Ouachita Baptist University,Arkadelphia,71998,#178,1020,21-29
Our Lady of the Lake University,San Antonio,78207,#395-435,900,15-16
Ozark Christian College,Joplin,64801,Unranked,,N/A
Pace University,New York,10038,#249,1120,24-29
Pacific College,Costa Mesa,,Unranked,,N/A
Pacific Lutheran University,Tacoma,98447,#25,1253,27-30
Pacific Northwest College of Art,Portland,97209,Unranked,,N/A
Pacific Oaks College,Pasadena,91103,Unranked,,N/A
Pacific Union College,Angwin,94508,#13,990,19-26
Pacific University,Forest Grove,97116,#209,1010,20-26
Paine College,Augusta,30901,#186-204,,N/A
Palm Beach Atlantic University,West Palm Beach,33416,#382,1000,19-26
Palm Beach State College,Lake Worth,33461,Unranked,,N/A
Parker University,Dallas,75229,Unranked,,N/A
Park University,Parkville,64152,#149-164,,N/A
Pasco-Hernando State College,New Port Richey,34654,Unranked,,N/A
Patrick Henry College,Purcellville,20132,Unranked,,N/A
Paul Quinn College,Dallas,75241,#38,,N/A
Paul Smith's College,Paul Smiths,12970,#25,,N/A
Peirce College,Philadelphia,19102,Unranked,,N/A
Peninsula College,Port Angeles,98362,Unranked,,N/A
Pennsylvania Academy of the Fine Arts,Philadelphia,19102,Unranked,,N/A
Pennsylvania College of Art & Design,Lancaster,17608,Unranked,,N/A
Pennsylvania College of Technology,Williamsport,17701,#6,1008,19-23
Pennsylvania State University -- Behrend,Erie,16563,Unranked,,N/A
Pennsylvania State University--Berks,,,Unranked,,N/A
Pennsylvania State University--Harrisburg,Middletown,17057,Unranked,,N/A
The Pennsylvania State University--University Park,University Park,16802,#60,1210,26-31
Pennsylvania Western University,California,15419,#135,940,18-25
Pensacola State College,Pensacola,32504,Unranked,,N/A
Pepperdine University,Malibu,90263,#76,1285,28-32
Peru State College,Peru,68421,#148,,N/A
Pfeiffer University,Misenheimer,28109,#71,891,18-25
Philander Smith College,Little Rock,72202,#60,,N/A
Phillips School of Nursing at Mount Sinai Beth Israel,New York,,Unranked,,N/A
Piedmont University,Demorest,30535,#52,990,19-25
Pillar College,Newark,,#186-204,,N/A
Pittsburgh Technical College,Oakdale,15071,Unranked,,N/A
Pittsburg State University,Pittsburg,66762,#96,,17-24
Pitzer College,Claremont,91711,#39,,N/A
Platt College,Aurora,80014,Unranked,,N/A
Plaza College,Forest Hills,11375,Unranked,,N/A
Plymouth State University,Plymouth,03264,#130,,N/A
Point Loma Nazarene University,San Diego,92106,#9,1160,23-30
Point Park University,Pittsburgh,15222,#352,1030,19-26
Point University,West Point,31833,#74,890,16-21
Polk State College,Winter Haven,33881,Unranked,,N/A
Pomona College,Claremont,91711,#4,1480,33-35
Pontifical Catholic University of Puerto Rico--Arecibo,Arecibo,00614,Unranked,,N/A
Pontifical Catholic University of Puerto Rico--Ponce,Ponce,00717,#380,,N/A
Pontifical College Josephinum,Columbus,43235,Unranked,,N/A
Portland State University,Portland,97207,#280,1070,18-27
Post University,Waterbury,06708,#151-167,,N/A
Prairie View A&M University,Prairie View,77446,#395-435,840,18-20
Pratt Institute,Brooklyn,11205,Unranked,,N/A
Presbyterian College,Clinton,29325,#139,1020,21-27
Prescott College,Prescott,86301,#90,,N/A
Princeton University,Princeton,08544,#1,1500,34-35
Principia College,Elsah,62028,#51,1027,16-26
Providence Christian College,Pasadena,91104,#186-204,,N/A
Providence College,Providence,02918,#1,1260,28-32
Provo College,Provo,,Unranked,,N/A
Pueblo Community College,Pueblo,81004,Unranked,,N/A
Puerto Rico Conservatory of Music,San Juan,00907,Unranked,,N/A
Purchase College--SUNY,Purchase,10577,#139,1190,29-31
Purdue University--Fort Wayne,Fort Wayne,46805,#117,980,20-27
Purdue University Global,West Lafayette,,#395-435,,N/A
Purdue University--Main Campus,West Lafayette,47907,#43,1200,27-34
Purdue University--Northwest,Hammond,46323,#103,950,18-24
Queens University of Charlotte,Charlotte,28274,#16,1080,22-29
Quincy University,Quincy,62301,#36,1080,21-26
Quinnipiac University,Hamden,06518,#170,1120,24-29
Radford University,Radford,24142,#304,960,19-23
Ramapo College of New Jersey,Mahwah,07430,#27,1100,21-28
Randolph College,Lynchburg,24503,#165,930,22-30
Randolph-Macon College,Ashland,23005,#107,1020,23-27
Ranken Technical College,Saint Louis,63113,Unranked,,N/A
Rasmussen University,,,Unranked,,N/A
Red Rocks Community College,Lakewood,80228,Unranked,,N/A
Reed College,Portland,97202,#67,,N/A
Regent's American College London,London NW1 4NS,,Unranked,,N/A
Regent University,Virginia Beach,23464,#369,1030,19-25
Regis College,Weston,02493,#45,1040,23-27
Regis University,Denver,80221,#260,1010,20-27
Reinhardt University,Waleska,30183,#34,900,14-24
Rensselaer Polytechnic Institute,Troy,12180,#60,1360,30-34
Renton Technical College,Renton,98056,Unranked,,N/A
Research College of Nursing,Kansas City,64132,Unranked,,N/A
Rhode Island College,Providence,02908,#96,870,N/A
Rhode Island School of Design,Providence,02903,#4,1310,28-34
Rhodes College,Memphis,38112,#56,1305,28-32
Rice University,Houston,77005,#17,1490,34-36
Richmond American University London,"Chiswick, London W4 5AN",,Unranked,,N/A
Rider University,Lawrenceville,08648,#33,1100,21-29
Ringling College of Art and Design,Sarasota,34234,Unranked,,N/A
Rio Hondo College,Whittier,90601,Unranked,,N/A
Ripon College,Ripon,54971,#146,990,19-27
Rivier University,Nashua,03060,#151-167,,N/A
Roanoke College,Salem,24153,#130,1060,19-26
Robert Morris University,Moon Township,15108,#201,,N/A
Roberts Wesleyan College,Rochester,14624,#91,1150,25-30
Rochester Institute of Technology,Rochester,14623,#98,1270,29-33
Rochester University,Rochester Hills,48307,#51,,N/A
Rockford University,Rockford,61108,#138,840,12-20
Rockhurst University,Kansas City,64110,#13,1050,19-27
Rocky Mountain College,Billings,59102,#91,970,18-24
Rocky Mountain College of Art and Design,Lakewood,80214,#29,,N/A
Rogers State University,Claremore,74017,#31,818,17-23
Roger Williams University,Bristol,02809,#50,1120,25-31
Rollins College,Winter Park,32789,#1,1120,23-29
Roosevelt University,Chicago,60605,#390,860,21-27
Rose-Hulman Institute of Technology,Terre Haute,47803,Unranked,,N/A
Roseman University of Health Sciences,Henderson,,Unranked,,N/A
Rosemont College,Rosemont,19010,#148,980,18-23
Rowan University,Glassboro,08028,#163,1090,23-31
Russell Sage College,Troy,12180,#195,900,15-25
Rust College,Holly Springs,38635,#186-204,,N/A
Rutgers University--Camden,Camden,08102,#98,1030,25-30
Rutgers University--Newark,Newark,07102,#82,1030,21-28
Rutgers University--New Brunswick,Piscataway,08854,#40,1270,28-33
Sacred Heart Major Seminary,Detroit,48206,Unranked,,N/A
Sacred Heart University,Fairfield,06825,#209,1140,26-29
Saginaw Valley State University,University Center,48710,#120,960,19-25
Saint Anselm College,Manchester,03102,#89,1120,26-30
Saint Anthony College of Nursing,Rockford,61114,Unranked,,N/A
Saint Augustine's University,Raleigh,27610,#86,,N/A
Saint Elizabeth University,Morristown,07960,#96,,N/A
Saint Johns River State College,Palatka,32177,Unranked,,N/A
Saint Joseph's University,Philadelphia,19131,#8,1130,26-31
Saint Leo University,Saint Leo,33574,#390,930,19-25
Saint Louis University,St. Louis,63103,#105,1210,26-31
Saint Martin's University,Lacey,98503,#33,925,19-24
Saint Mary-of-the-Woods College,St. Mary-of-the-Woods,47876,#35,868,18-30
Saint Mary's College,Notre Dame,46556,#82,1030,23-30
Saint Mary's College of California,Moraga,94556,#4,1085,26-31
Saint Mary's University of Minnesota,Winona,55987,#296,,21-28
Saint Michael's College,Colchester,05439,#116,1160,27-30
Saint Peter's University,Jersey City,07306,#45,910,22-26
Saint Vincent College,Latrobe,15650,#124,1030,22-28
Saint Xavier University,Chicago,60655,#38,890,19-24
Salem College,Winston-Salem,27101,#139,973,20-28
Salem State University,Salem,01970,#96,1000,N/A
Salem University,Salem,26426,#123-135,,N/A
Salisbury University,Salisbury,21801,#54,1180,22-27
Salish Kootenai College,Pablo,59855,Unranked,,N/A
Salve Regina University,Newport,02840,#27,1130,25-28
Samford University,Birmingham,35229,#185,1080,23-29
Sam Houston State University,Huntsville,77340,#249,960,18-24
Samuel Merritt University,Oakland,94609,Unranked,,N/A
San Diego Christian College,Santee,92071,#98,,N/A
San Diego Mesa College,San Diego,92111,Unranked,,N/A
San Diego State University,San Diego,92182,#105,,N/A
San Francisco Conservatory of Music,San Francisco,94102,Unranked,,N/A
San Francisco State University,San Francisco,94132,#178,,N/A
San Joaquin Valley College--Visalia,Visalia,93291,Unranked,,N/A
San Jose State University,San Jose,95192,#4,1070,21-29
San Juan Bautista School of Medicine,Caguas,,Unranked,,N/A
Santa Ana College,Santa Ana,92706,Unranked,,N/A
Santa Clara University,Santa Clara,95053,#60,1290,29-33
Santa Fe College,Gainesville,32606,Unranked,,N/A
Santa Monica College,Santa Monica,90405,Unranked,,N/A
Sarah Lawrence College,Bronxville,10708,#100,1260,29-33
Savannah College of Art and Design,Savannah,31402,#9,1060,20-28
Savannah State University,Savannah,31404,#110,,N/A
Schoolcraft College,Livonia,48152,Unranked,,N/A
School of the Art Institute of Chicago,Chicago,60603,Unranked,,N/A
School of Visual Arts,New York,10010,#104,1168,27-33
Schreiner University,Kerrville,78028,#67,920,17-24
Scripps College,Claremont,91711,#35,1390,32-34
Seattle Central College,Seattle,98122,Unranked,,N/A
Seattle Pacific University,Seattle,98119,#269,1080,20-27
Seattle University,Seattle,98122,#163,1190,24-30
Seminole State College of Florida,Sanford,32773,Unranked,,N/A
Sentara College of Health Sciences,Chesapeake,,Unranked,,N/A
Seton Hall University,South Orange,07079,#151,1230,28-31
Seton Hill University,Greensburg,15601,#39,1040,21-28
Shasta College,Redding,96003,Unranked,,N/A
Shawnee State University,Portsmouth,45662,#133,970,17-23
Shaw University,Raleigh,27601,#91-99,,N/A
Shenandoah University,Winchester,22601,#304,1100,24-30
Shepherd University,Shepherdstown,25443,#79,930,19-24
Shippensburg University of Pennsylvania,Shippensburg,17257,#104,980,18-28
Shorter University,Rome,30165,#105,960,17-25
Siena College,Loudonville,12211,#13,1045,22-31
Siena Heights University,Adrian,49221,#55,,N/A
Sierra Nevada University,Incline Village,89451,#105-115,920,17-22
Simmons University,Boston,02115,#151,1200,28-32
Simpson College,Indianola,50125,#5,1210,31-33
Simpson University,Redding,96003,#174,,N/A
Sinte Gleska University,Rosebud,57570,Unranked,,N/A
Sitting Bull College,Fort Yates,58538,Unranked,,N/A
Skagit Valley College,Mount Vernon,98273,Unranked,,N/A
Skidmore College,Saratoga Springs,12866,#38,1300,30-33
Skyline College,San Bruno,94066,Unranked,,N/A
Slippery Rock University of Pennsylvania,Slippery Rock,16057,#50,960,18-26
Smith College,Northampton,01063,#16,1370,31-34
Snow College,Ephraim,84627,#19,400,16-28
Soka University of America,Aliso Viejo,92656,#56,1240,26-27
Solano Community College,Fairfield,94534,Unranked,,N/A
Sonoma State University,Rohnert Park,94928,#27,,N/A
South Carolina State University,Orangeburg,29117,#79,890,12-19
South College,Knoxville,37909,#395-435,,N/A
South Dakota School of Mines and Technology,Rapid City,57701,#26,1160,23-29
South Dakota State University,Brookings,57007,#296,1020,19-25
Southeastern Baptist Theological Seminary,Wake Forest,27587,#296,,N/A
Southeastern Louisiana University,Hammond,70402,#84,,21-25
Southeastern Oklahoma State University,Durant,74701,#98,880,17-23
Southeastern University,Lakeland,33801,#395-435,960,19-25
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,,Unranked,,N/A
Southeast Missouri State University,Cape Girardeau,63701,#88,970,17-24
Southern Adventist University,Collegedale,37315,#41,980,19-26
Southern Arkansas University,Magnolia,71754,#86,900,17-24
Southern Baptist Theological Seminary,Louisville,40280,Unranked,,N/A
Southern California Institute of Architecture,Los Angeles,90013,Unranked,,N/A
Southern California University of Health Sciences,Whittier,,Unranked,,N/A
Southern Connecticut State University,New Haven,06515,#64,870,18-25
Southern Illinois University--Carbondale,Carbondale,62901,#280,900,19-27
Southern Illinois University Edwardsville,Edwardsville,62026,#332,930,19-26
Southern Methodist University,Dallas,75275,#89,1370,31-34
Southern Nazarene University,Bethany,73008,#75,,N/A
Southern New Hampshire University,Manchester,03106,#151-167,,N/A
Southern Oregon University,Ashland,97520,#69,980,18-25
Southern University and A&M College,Baton Rouge,70813,#395-435,890,15-19
Southern University at New Orleans,New Orleans,70126,#123-135,,15-18
Southern Utah University,Cedar City,84720,#60,1030,20-26
Southern Virginia University,Buena Vista,24416,#186-204,1018,17-26
Southern Wesleyan University,Central,29630,#52,1013,19-23
South Florida State College,Avon Park,33825,Unranked,,N/A
South Georgia State College,Douglas,31533,#85,,N/A
South Seattle College,Seattle,98106,Unranked,,N/A
South Texas College,McAllen,78501,#42,,N/A
South University,Savannah,33411,#123-135,,N/A
South University-Tampa,Tampa,,Unranked,,N/A
Southwest Baptist University,Bolivar,65613,#131,943,19-25
Southwestern Adventist University,Keene,76059,#15,900,17-24
Southwestern Assemblies of God University,Waxahachie,75165,#82,900,17-22
Southwestern Christian College,Terrell,75160,Unranked,,N/A
Southwestern Christian University,Bethany,73008,#43,,N/A
Southwestern College,Winfield,67156,#47,920,16-22
Southwestern Oklahoma State University,Weatherford,73096,#64,,17-23
Southwestern University,Georgetown,78627,#89,1120,24-30
Southwest Minnesota State University,Marshall,56258,#103,,17-23
Spalding University,Louisville,40203,#64,905,16-22
Spelman College,Atlanta,30314,#39,1090,22-27
Spokane Community College,Spokane,99217,Unranked,,N/A
Spokane Falls Community College,Spokane,99224,Unranked,,N/A
Spring Arbor University,Spring Arbor,49283,#67,970,20-26
Springfield College,Springfield,01109,#216,1100,26-31
Spring Hill College,Mobile,36608,#8,1110,19-24
St. Ambrose University,Davenport,52803,#320,940,20-26
St. Andrews University,Laurinburg,,#89,,N/A
Stanford University,Stanford,94305,#3,1500,33-35
State College of Florida--Manatee-Sarasota,Bradenton,34207,Unranked,,N/A
St. Augustine College,Chicago,60640,#22,,N/A
St. Bonaventure University,St. Bonaventure,14778,#17,1050,25-32
St. Catherine University,St. Paul,55105,#216,1155,18-26
St. Charles Borromeo Seminary,Wynnewood,19096,Unranked,,N/A
St. Cloud State University,St. Cloud,56301,#76,1028,18-24
St. Edward's University,Austin,78704,#6,1030,20-27
Stephen F. Austin State University,Nacogdoches,75962,#39,950,17-23
Stephens College,Columbia,65215,#83,1030,19-23
Sterling College (KS),Sterling,67579,#45,938,18-24
Sterling College (VT),Craftsbury Common,05827,#32,,N/A
Stetson University,DeLand,32723,#4,1110,25-29
Stevens Institute of Technology,Hoboken,07030,#76,1380,31-34
Stevenson University,Owings Mills,21117,#91,,N/A
St. Francis College,Brooklyn,11201,#18,990,22-26
St. Francis Medical Center College of Nursing,Peoria,61603,Unranked,,N/A
St. Francis University,Loretto,15940,#30,1030,20-26
Stillman College,Tuscaloosa,35401,#74,,N/A
St. John Fisher University,Rochester,14618,#185,1090,23-29
St. John's College (IL),Springfield,62702,Unranked,,N/A
St. John's College (MD),Annapolis,21401,#75,1250,30-33
St. John's College (NM),Santa Fe,87505,#93,1290,30-32
St. John's University (MN),Collegeville,56321,#82,915,21-26
St. John's University (NY),Queens,11439,#163,1110,24-29
St. John Vianney College Seminary,Miami,33165,Unranked,,N/A
St. Joseph's College (ME),Standish,04084,#91,1020,N/A
St. Joseph Seminary College,St. Benedict,70457,Unranked,,N/A
"St. Joseph's University, New York",Brooklyn,11205,#45,1093,23-27
St. Lawrence University,Canton,13617,#59,1240,29-32
St Luke's College,Sioux City,,Unranked,,N/A
St. Mary's College of Maryland,St. Marys City,20686,#82,1130,28-30
St. Mary's University of San Antonio,San Antonio,78228,#14,,N/A
St. Norbert College,De Pere,54115,#93,1010,21-27
Stockton University,Galloway,08205,#159,1050,18-25
St. Olaf College,Northfield,55057,#51,1300,28-33
Stone Child College,Boneau,,Unranked,,N/A
Stonehill College,Easton,02357,#86,,N/A
Stony Brook University--SUNY,Stony Brook,11794,#58,1320,28-34
St. Petersburg College,St. Petersburg,33733,Unranked,,N/A
Stratford University,Alexandria,,Unranked,,N/A
Strayer University,Washington,20005,Unranked,,N/A
St. Thomas Aquinas College,Sparkill,10976,#119,920,N/A
St. Thomas University,Miami Gardens,33054,#395-435,860,16-21
Suffolk University,Boston,02108,#249,1100,25-30
Sullivan University,Louisville,40205,Unranked,,N/A
Sul Ross State University,Alpine,79832,#95,850,16-21
SUM Bible College and Theological Seminary,El Dorado Hills,,Unranked,,N/A
SUNY Brockport,Brockport,14420,#64,1070,18-26
SUNY Buffalo State University,Buffalo,14222,#119,940,N/A
SUNY Cobleskill,Cobleskill,12043,#12,910,17-26
SUNY College--Cortland,Cortland,13045,#60,1100,N/A
SUNY College of Environmental Science and Forestry,Syracuse,13210,#115,,N/A
SUNY College of Technology at Canton,Canton,13617,#9,950,N/A
SUNY College of Technology--Delhi,Delhi,13753,#20,,N/A
SUNY College--Old Westbury,Old Westbury,11568,#94,1070,N/A
SUNY Downstate Health Sciences University,Brooklyn,11203,Unranked,,N/A
SUNY Empire State College,Saratoga Springs,12866,#151-167,,N/A
SUNY--Fredonia,Fredonia,14063,#69,1080,18-23
SUNY--Geneseo,Geneseo,14454,#12,1160,25-30
SUNY Maritime College,Throggs Neck,10465,#25,1140,24-28
SUNY Morrisville,Morrisville,13408,#26,980,16-23
SUNY--New Paltz,New Paltz,12561,#24,1160,25-29
SUNY--Oneonta,Oneonta,13820,#30,1090,24-28
SUNY Oswego,Oswego,13126,#39,1070,22-29
SUNY Plattsburgh,Plattsburgh,12901,#54,1050,21-30
SUNY Polytechnic Institute,Utica,13502,#25,1050,26-32
SUNY Potsdam,Potsdam,13676,#80,,N/A
Susquehanna University,Selinsgrove,17870,#107,1088,23-30
Swarthmore College,Swarthmore,19081,#4,1440,32-35
Sweet Briar College,Sweet Briar,24595,#180,1010,19-29
Syracuse University,Syracuse,13244,#67,1260,28-32
Tabor College,Hillsboro,67063,#36,830,17-25
Tacoma Community College,Tacoma,98466,Unranked,,N/A
Talladega College,Talladega,35160,#61,,N/A
Tallahassee Community College,Tallahassee,32304,Unranked,,N/A
Tarleton State University,Stephenville,76402,#376,950,18-24
Taylor University,Upland,46989,#3,1090,23-30
Temple University,Philadelphia,19122,#89,1120,24-31
Tennessee State University,Nashville,37209,#395-435,978,15-20
Tennessee Tech University,Cookeville,38505,#249,1000,21-27
Tennessee Wesleyan University,Athens,37303,#15,930,18-24
Texas A&M International University,Laredo,78041,#44,910,16-21
Texas A&M University,College Station,77843,#47,1150,25-31
Texas A&M University--Commerce,Commerce,75429,#369,913,16-23
Texas A&M University--Corpus Christi,Corpus Christi,78412,#395-435,980,18-24
Texas A&M University--Kingsville,Kingsville,78363,#352,890,16-21
Texas A&M University--San Antonio,San Antonio,,Unranked,,N/A
Texas A&M University--Texarkana,Texarkana,75503,#75,850,17-25
Texas Christian University,Fort Worth,76129,#98,1140,26-31
Texas College,Tyler,75702,#45-48,,N/A
Texas Lutheran University,Seguin,78155,#11,1030,20-27
Texas Southern University,Houston,77004,#395-435,820,15-19
Texas State University,San Marcos,78666,#280,980,19-26
Texas Tech University,Lubbock,79409,#216,1090,23-28
Texas Tech University Health Sciences Center-El Paso,El Paso,,Unranked,,N/A
Texas Tech University Health Sciences Center-Lubbock,Lubbock,79430,Unranked,,N/A
Texas Wesleyan University,Fort Worth,76105,#395-435,920,16-22
Texas Woman's University,Denton,76204,#332,930,16-22
Thiel College,Greenville,16125,#23,965,17-24
Thomas Aquinas College,Santa Paula,93060,#67,1215,27-32
Thomas College,Waterville,04901,#146,980,N/A
Thomas Edison State University,Trenton,08608,Unranked,,N/A
Thomas Jefferson University,Philadelphia,19107,#142,1120,26-31
Thomas More College of Liberal Arts,Merrimack,03054,Unranked,,N/A
Thomas More University,Crestview Hills,41017,#79,1005,18-25
Thomas University,Thomasville,31792,#122,780,11-29
Tiffin University,Tiffin,44883,#145,,N/A
Toccoa Falls College,Toccoa Falls,30598,#30,990,18-24
Tougaloo College,Tougaloo,39174,#181,790,16-21
Touro University,New York,10036,#195,1220,25-32
Touro University Nevada,Henderson,,Unranked,,N/A
Towson University,Towson,21252,#21,1010,19-25
Transylvania University,Lexington,40508,#121,1120,23-29
Trevecca Nazarene University,Nashville,37210,#382,1010,18-25
Trine University,Angola,46703,#14,1020,22-28
Trinity Bible College and Graduate School,Ellendale,,Unranked,,N/A
Trinity Christian College,Palos Heights,60463,#15,910,20-29
Trinity College,Hartford,06106,#39,1300,30-32
Trinity College of Nursing & Health Sciences,Rock Island,61201,Unranked,,N/A
Trinity International University,Deerfield,60015,#395-435,980,15-21
Trinity University,San Antonio,78212,#59,1310,29-33
Trinity Washington University,Washington,20017,#121,,N/A
Trocair College,BUffalo,14220,Unranked,,N/A
Troy University,Troy,36082,#55,950,17-24
Truckee Meadows Community College,,,Unranked,,N/A
Truett McConnell University,Cleveland,30528,#63,1000,18-23
Truman State University,Kirksville,63501,#5,1070,23-29
Tufts University,Medford,02155,#40,1450,33-35
Tulane University,New Orleans,70118,#73,1370,31-33
Turtle Mountain Community College,Belcourt,,Unranked,,N/A
Tusculum University,Greeneville,37743,#86,910,17-22
Tuskegee University,Tuskegee,36088,#8,960,18-24
Tyler Junior College,Tyler,75701,Unranked,,N/A
Union College (KY),Barbourville,40906,#113,955,16-22
Union College (NE),Lincoln,68506,#15,860,17-25
Union College (NY),Schenectady,12308,#45,1310,29-33
Union Institute and University,Cincinnati,45206,Unranked,,N/A
Union University,Jackson,38305,#249,1100,23-30
United States Air Force Academy,USAF Academy,80840,#7,1310,28-33
United States Coast Guard Academy,New London,06320,#1,1160,26-31
United States International University--Kenya,Nairobi,,Unranked,,N/A
United States Merchant Marine Academy,Kings Point,11024,#3,1150,25-28
United States Military Academy at West Point,West Point,10996,#8,1220,27-33
United States Naval Academy,Annapolis,21402,#3,1200,25-32
United States University,Chula Vista,91911,Unranked,,N/A
United Tribes Technical College,Bismarck,,Unranked,,N/A
Unitek College,,,Unranked,,N/A
Unity Environmental University,Unity,04988,#151-167,,N/A
Universidad Adventista de las Antillas,Mayaguez,00681,#96,,N/A
Universidad Ana G. Mendez--Carolina Campus,Carolina,00985,#123-135,,N/A
Universidad Ana G. Mendez--Cupey Campus,Rio Piedras,00928,#123-135,,N/A
Universidad Ana G. Mendez--Gurabo Campus,Gurabo,00778,#395-435,,N/A
Universidad Central Del Caribe,Bayamon,,Unranked,,N/A
Universidad del Sagrado Corazon,Santurce,00914,#120,,N/A
Universidad Politecnica de Puerto Rico,Hato Rey,00919,#123-135,,N/A
University at Albany--SUNY,Albany,12222,#133,1120,22-31
University at Buffalo--SUNY,Buffalo,14214,#76,1190,25-32
University of Advancing Technology,Tempe,85283,#27,,N/A
The University of Akron,Akron,44325,#361,980,18-25
The University of Alabama,Tuscaloosa,35487,#170,1130,23-31
University of Alabama at Birmingham,Birmingham,35294,#142,1200,23-30
University of Alabama at Huntsville,Huntsville,35899,#227,1226,25-31
University of Alaska--Anchorage,Anchorage,99508,#86,1030,18-25
University of Alaska--Fairbanks,Fairbanks,99775,#389,1110,17-27
University of Alaska--Southeast,Juneau,99801,#105-115,,N/A
University of Antelope Valley,Lancaster,,#12,,N/A
University of Arizona,Tucson,85721,#115,1140,21-29
University of Arkansas,Fayetteville,72701,#178,1030,21-29
University of Arkansas at Little Rock,Little Rock,72204,#390,770,18-24
University of Arkansas for Medical Sciences,Little Rock,72205,Unranked,,N/A
University of Arkansas -- Fort Smith,Fort Smith,72913,#34,,18-23
University of Arkansas--Monticello,Monticello,71656,#123-135,,N/A
University of Arkansas--Pine Bluff,Pine Bluff,71601,#41,805,14-18
University of Baltimore,Baltimore,21201,#104,920,N/A
University of Bridgeport,Bridgeport,06604,#389,950,N/A
"University of California, Berkeley",Berkeley,94720,#15,,N/A
"University of California, Davis",Davis,95616,#28,,N/A
"University of California, Irvine",Irvine,92697,#33,,N/A
"University of California, Los Angeles",Los Angeles,90095,#15,,N/A
"University of California, Merced",Merced,95343,#60,,N/A
"University of California, Riverside",Riverside,92521,#76,,N/A
"University of California, San Diego",La Jolla,92093,#28,,N/A
"University of California, Santa Barbara",Santa Barbara,93106,#35,,N/A
"University of California, Santa Cruz",Santa Cruz,95064,#82,,N/A
University of Central Arkansas,Conway,72035,#394-435,940,19-25
University of Central Florida,Orlando,32816,#124,1200,25-29
University of Central Missouri,Warrensburg,64093,#67,,18-24
University of Central Oklahoma,Edmond,73034,#67,,18-24
University of Charleston,Charleston,25304,#395-435,,N/A
University of Chicago,Chicago,60637,#12,1500,34-35
University of Cincinnati,Cincinnati,45221,#142,1160,24-29
University of Cincinnati--UC Blue Ash College,Cincinnati,45236,Unranked,,N/A
University of Colorado Boulder,Boulder,80309,#105,1160,26-31
University of Colorado Colorado Springs,Colorado Springs,80918,#395-435,,N/A
University of Colorado Denver,Denver,80217,#236,1030,21-27
University of Connecticut,Storrs,06269,#58,1220,28-33
University of Dallas,Irving,75062,#18,1170,23-31
University of Dayton,Dayton,45469,#133,1150,23-30
University of Delaware,Newark,19716,#76,1190,26-31
University of Denver,Denver,80208,#124,1220,28-32
University of Detroit Mercy,Detroit,48221,#185,960,21-26
University of Dubuque,Dubuque,52001,#84,950,19-24
University of Evansville,Evansville,47722,#13,1045,21-28
University of Findlay,Findlay,45840,#332,1020,20-26
University of Florida,Gainesville,32611,#28,1300,28-33
University of Georgia,Athens,30602,#47,1220,27-32
University of Guam,Mangilao,96923,#64,,N/A
University of Hartford,West Hartford,06117,#304,1090,22-29
University of Hawaii at Hilo,Hilo,96720,#352,960,16-21
University of Hawaii at Manoa,Honolulu,96822,#170,1070,18-24
University of Hawaii--Maui College,Kahului,96732,Unranked,,N/A
University of Hawaii--West Oahu,Kapolei,96707,#15,1040,16-22
University of Health Sciences & Pharmacy in St. Louis,St. Louis,63110,Unranked,,N/A
University of Holy Cross,New Orleans,70131,#86,,16-21
University of Houston,Houston,77204,#133,1160,23-29
University of Houston--Clear Lake,Houston,77058,#304,990,18-23
University of Houston--Downtown,Houston,77002,#62,920,16-20
University of Houston--Victoria,Victoria,77901,#95,,N/A
University of Idaho,Moscow,83844,#185,990,20-27
University of Illinois--Chicago,Chicago,60607,#82,1110,24-30
University of Illinois--Springfield,Springfield,62703,#24,988,20-27
University of Illinois Urbana-Champaign,Champaign,61820,#35,1340,29-34
University of Indianapolis,Indianapolis,46227,#304,960,19-26
University of Iowa,Iowa City,52242,#93,1130,22-28
University of Jamestown,Jamestown,58405,#112,900,17-24
University of Kansas,Lawrence,66045,#151,1090,21-28
University of Kentucky,Lexington,40506,#159,1070,21-28
University of La Verne,La Verne,91750,#170,970,18-25
University of Louisiana at Lafayette,Lafayette,70504,#345,1125,23-27
University of Louisiana at Monroe,Monroe,71209,#369,968,20-25
University of Louisville,Louisville,40292,#195,1070,19-27
University of Lynchburg,Lynchburg,24501,#345,1000,21-28
University of Maine,Orono,04469,#249,1060,22-30
University of Maine at Farmington,Farmington,04938,#11,990,N/A
University of Maine--Augusta,Augusta,04330,#41-44,,N/A
University of Maine--Fort Kent,Fort Kent,04743,#35,,N/A
University of Maine--Presque Isle,Presque Isle,04769,#36,,N/A
University of Mary,Bismarck,58504,#376,,N/A
University of Mary Hardin-Baylor,Belton,76513,#394-435,970,19-27
"University of Maryland, Baltimore",Baltimore,21201,Unranked,,N/A
"University of Maryland, Baltimore County",Baltimore,21250,#133,1210,23-29
"University of Maryland, College Park",College Park,20742,#46,1360,30-34
