institution.displayName,institution.city,institution.zip,ranking.displayRank,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Brown University,Providence,02912,#9,1490,34-36
Bryan College,Dayton,37321,#63,,N/A
Bryan College of Health Sciences,Lincoln,,Unranked,,N/A
Bryant & Stratton College--Wauwatosa,,,Unranked,,N/A
Bryant University,Smithfield,02917,#6,1163,27-32
Bryn Athyn College of the New Church,Bryn Athyn,19009,#174,980,19-21
Bryn Mawr College,Bryn Mawr,19010,#30,1280,29-35
Bucknell University,Lewisburg,17837,#30,1310,30-33
Buena Vista University,Storm Lake,50588,#47,930,20-24
Bushnell University,Eugene,97401,#73,920,N/A
Butler University,Indianapolis,46208,#1,1110,24-30
Cabarrus College of Health Sciences,Concord,28025,Unranked,,N/A
Cairn University,Langhorne,19047,#144,,N/A
Caldwell University,Caldwell,07006,#80,1013,N/A
California Baptist University,Riverside,92504,#30,940,19-25
California College of the Arts,San Francisco,94107,Unranked,,N/A
California Institute of Technology,Pasadena,91125,#7,,N/A
California Institute of the Arts,Valencia,91355,#28,,N/A
California Lutheran University,Thousand Oaks,91360,#11,1150,26-30
California Polytechnic State University -- Humboldt,Arcata,95521,#32,1040,21-24
California Polytechnic State University--San Luis Obispo,San Luis Obispo,93407,#1,1240,28-33
California State Polytechnic University--Pomona,Pomona,91768,#3,,N/A
California State University--Bakersfield,Bakersfield,93311,#34,900,16-22
California State University--Channel Islands,Camarillo,93012,#28,,N/A
California State University--Chico,Chico,95929,#16,930,20-28
California State University--Dominguez Hills,Carson,90747,#38,,N/A
California State University--East Bay,Hayward,94542,#280,,N/A
"California State University, Fresno",Fresno,93740,#185,880,16-24
California State University--Fullerton,Fullerton,92831,#133,910,18-27
California State University--Long Beach,Long Beach,90840,#105,,N/A
California State University--Los Angeles,Los Angeles,90032,#21,,N/A
California State University--Maritime Academy,Vallejo,94590,#2,,N/A
California State University--Monterey Bay,Seaside,93955,#14,1008,20-28
California State University--Northridge,Northridge,91330,#25,,N/A
"California State University, Sacramento",Sacramento,95819,#18,860,17-22
California State University--San Bernardino,San Bernardino,92407,#170,,17-22
"California State University, San Marcos",San Marcos,92096,#28,870,17-25
California State University--Stanislaus,Turlock,95382,#10,,N/A
Calumet College of St. Joseph,Whiting,46394,#149-164,813,12-17
Calvary University,Kansas City,64147,#64,870,18-22
Calvin University,Grand Rapids,49546,#4,1120,25-30
Cambridge College,Cambridge,02138,Unranked,,N/A
Cameron University,Lawton,73505,#97,,16-21
Campbellsville University,Campbellsville,42718,#100,,N/A
Campbell University,Buies Creek,27506,#320,1000,19-25
Canisius University,Buffalo,14208,#33,1050,22-28
Capital University,Columbus,43209,#47,960,18-24
Capitol Technology University,Laurel,20708,#395-435,,N/A
Caribbean University,Bayamon,00960,#123-135,,N/A
Carleton College,Northfield,55057,#9,1430,32-35
Carlow University,Pittsburgh,15213,#87,908,21-23
Carnegie Mellon University,Pittsburgh,15213,#24,1490,34-35
Carolinas College of Health Sciences,,,Unranked,,N/A
Carroll College,Helena,59625,#3,1080,13-29
Carroll University,Waukesha,53186,#38,1060,22-28
Carson-Newman University,Jefferson City,37760,#361,980,19-26
Carthage College,Kenosha,53140,#32,1040,20-26
Cascadia College,Bothell,98011,Unranked,,N/A
Case Western Reserve University,Cleveland,44106,#53,1410,32-35
Castleton University,Castleton,05735,#136,958,16-22
Catawba College,Salisbury,28144,#6,1000,18-27
The Catholic University of America,Washington,20064,#178,1110,22-29
Cedar Crest College,Allentown,18104,#87,960,N/A
Cedarville University,Cedarville,45314,#21,1130,23-29
CEM College--San Juan,San Juan,,Unranked,,N/A
Centenary College,Shreveport,71104,#139,1080,21-27
Centenary University,Hackettstown,07840,#106,990,15-22
Central Baptist College,Conway,72032,#68,841,17-24
Central Christian College of Kansas,McPherson,67460,#68-74,,N/A
Central College,Pella,50219,#135,1040,19-26
Central Connecticut State University,New Britain,06050,#69,940,18-24
Centralia College,Centralia,98531,Unranked,,N/A
Central Methodist University -- College of Liberal Arts and Sciences,Fayette,65248,#27,923,18-23
Central Michigan University,Mount Pleasant,48859,#260,980,21-27
Central Penn College,Summerdale,17093,#35,,N/A
Central State University,Wilberforce,45384,#68-74,770,14-18
Central Washington University,Ellensburg,98926,#37,940,N/A
Centre College,Danville,40422,#51,1195,26-34
Chadron State College,Chadron,69337,#132,,N/A
Chamberlain University,Downers Grove,60515,Unranked,,N/A
Chaminade University of Honolulu,Honolulu,96816,#30,,N/A
Champlain College,Burlington,05401,#91,1163,27-31
Chapman University,Orange,92866,#133,1200,26-31
Charles R. Drew University of Medicine and Science,Los Angeles,90059,Unranked,,N/A
Charleston Southern University,Charleston,29423,#59,940,18-23
Chatham University,Pittsburgh,15232,#209,1060,21-29
Chestnut Hill College,Philadelphia,19118,#121,900,N/A
Cheyney University of Pennsylvania,Cheyney,19319,#182,,N/A
Chicago School of Professional Psychology at Los Angeles,Los Angeles,,Unranked,,N/A
Chicago State University,Chicago,60628,#149-164,,N/A
Chipola College,Marianna,32446,Unranked,,N/A
Chowan University,Murfreesboro,27855,#68,970,18-24
Christ College of Nursing and Health Sciences,Cincinnati,,Unranked,,N/A
Christian Brothers University,Memphis,38104,#13,920,19-27
Christopher Newport University,Newport News,23606,#7,1100,22-29
"The Citadel, The Military College of South Carolina",Charleston,29409,#2,1090,23-27
Claflin University,Orangeburg,29115,#159,840,17-21
Claremont McKenna College,Claremont,91711,#11,1440,33-35
Clark Atlanta University,Atlanta,30314,#361,860,17-20
Clark College,Vancouver,98663,Unranked,,N/A
Clarke University,Dubuque,52001,#280,890,18-23
Clarkson College,Omaha,68131,Unranked,,N/A
Clarkson University,Potsdam,13699,#142,1190,25-30
Clarks Summit University,Clarks Summit,18411,#151-167,,N/A
Clark University,Worcester,01610,#142,1250,28-33
Clayton State University,Morrow,30260,#91,890,16-20
Clear Creek Baptist Bible College,Pineville,40977,Unranked,,N/A
Cleary University,Howell,48843,Unranked,,N/A
Clemson University,Clemson,29634,#86,1220,28-32
Cleveland Institute of Art,Cleveland,44106,Unranked,,N/A
Cleveland Institute of Music,Cleveland,44106,Unranked,,N/A
Cleveland State University,Cleveland,44115,#320,,18-25
Cleveland University--Kansas City,Overland Park,66210,Unranked,,N/A
